otu	statistic	p.value	parameter	method	WM	C	WMC	WMN	p.value.adj
Lachnospiraceae (OTU 30)	69.00552754379925	6.969221662424829e-15	3	Kruskal-Wallis rank sum test	0	0.006	0	0	1.1129473430578048e-12
Acetatifactor (OTU 78)	68.33943607309791	9.677802983111347e-15	3	Kruskal-Wallis rank sum test	0	0.004	0	0	1.1129473430578048e-12
Acetatifactor (OTU 79)	70.25980033653809	3.755139947317194e-15	3	Kruskal-Wallis rank sum test	0	0.006	0	0	1.1129473430578048e-12
Oscillibacter (OTU 45)	66.85165557563835	2.0146523595509446e-14	3	Kruskal-Wallis rank sum test	0	0.009	0	0	1.7376376601126898e-12
Ruminococcaceae (OTU 50)	65.7153449506878	3.526401022294124e-14	3	Kruskal-Wallis rank sum test	0	0.008	0	0	2.4332167053829454e-12
Lachnospiraceae (OTU 33)	64.54098153649193	6.288410862282173e-14	3	Kruskal-Wallis rank sum test	0	0.013	0	0	3.615836245812249e-12
Ruminococcaceae (OTU 52)	63.53757788157028	1.0306860187163909e-13	3	Kruskal-Wallis rank sum test	0	0.004	0	0	5.0798096636736406e-12
Ruminococcaceae (OTU 27)	62.24953698868768	1.9431608687943558e-13	3	Kruskal-Wallis rank sum test	0	0.016	0	0	6.703904997340528e-12
Lachnospiraceae (OTU 31)	62.64172659043487	1.6020200562668385e-13	3	Kruskal-Wallis rank sum test	0	0.017	0	0	6.703904997340528e-12
Ruminococcaceae (OTU 92)	62.438486673752976	1.7705851344407254e-13	3	Kruskal-Wallis rank sum test	0	0.005	0	0	6.703904997340528e-12
Lachnospiraceae (OTU 41)	61.54027765183244	2.7549320139652877e-13	3	Kruskal-Wallis rank sum test	0	0.013	0	0	8.640468589254765e-12
Ruminococcaceae (OTU 59)	61.20702684001597	3.2458837566488095e-13	3	Kruskal-Wallis rank sum test	0	0.005	0	0	9.331915800365327e-12
Ruminococcaceae (OTU 54)	60.61180054907767	4.350399403169181e-13	3	Kruskal-Wallis rank sum test	0	0.005	0	0	1.1545290723795135e-11
Pseudoflavonifractor (OTU 69)	58.14141349893492	1.4662942777587296e-12	3	Kruskal-Wallis rank sum test	0	0.005	0	0	3.6133680416197263e-11
Peptostreptococcaceae (OTU 12)	55.86184492874844	4.496016351950153e-12	3	Kruskal-Wallis rank sum test	0.023	0	0.043	0	9.694535258892519e-11
Lachnospiraceae (OTU 73)	55.88222523778864	4.451218042774044e-12	3	Kruskal-Wallis rank sum test	0	0.005	0	0	9.694535258892519e-11
Blautia (OTU 19)	53.19411738244933	1.6667163496303582e-11	3	Kruskal-Wallis rank sum test	0.054	0	0.065	0.14200000000000002	3.3824537683674914e-10
Ruminococcaceae (OTU 60)	52.82603111834597	1.9968098287931662e-11	3	Kruskal-Wallis rank sum test	0	0.003	0	0	3.8272188385202357e-10
Lachnospiraceae (OTU 34)	51.589637392404796	3.663194588774962e-11	3	Kruskal-Wallis rank sum test	0	0.034	0	0	6.651590174354537e-10
Lachnospiraceae (OTU 66)	50.77697559058985	5.457664903035596e-11	3	Kruskal-Wallis rank sum test	0	0.003	0	0	9.414471957736404e-10
Lachnospiraceae (OTU 4)	49.697664591276656	9.265873374082497e-11	3	Kruskal-Wallis rank sum test	0.002	0.098	0	0	1.5222506257421243e-9
Enterobacteriaceae (OTU 2)	48.883204273393154	1.3813172886135124e-10	3	Kruskal-Wallis rank sum test	0.256	0.002	0.246	0.357	2.1661566571439173e-9
Lachnospiraceae (OTU 17)	48.02755435772827	2.1009229829700844e-10	3	Kruskal-Wallis rank sum test	0	0.013	0	0	3.1252591162788005e-9
Ruminococcaceae (OTU 101)	47.957685841977984	2.1740932982809046e-10	3	Kruskal-Wallis rank sum test	0	0.002	0	0	3.1252591162788005e-9
Lachnospiraceae (OTU 102)	47.12586071646465	3.267817715685542e-10	3	Kruskal-Wallis rank sum test	0	0.001	0	0	4.509588447646048e-9
Ruminococcaceae (OTU 65)	46.32150749501969	4.845439743092128e-10	3	Kruskal-Wallis rank sum test	0	0.002	0	0	6.312421575800175e-9
Lachnospiraceae (OTU 85)	46.2819704696961	4.940156015843615e-10	3	Kruskal-Wallis rank sum test	0	0.013	0	0	6.312421575800175e-9
Oscillibacter (OTU 57)	46.121538799588464	5.343854571823083e-10	3	Kruskal-Wallis rank sum test	0	0.004	0	0	6.584392240282013e-9
Lachnospiraceae (OTU 24)	45.92285309980955	5.889786128317997e-10	3	Kruskal-Wallis rank sum test	0	0.015	0	0	7.006814531964513e-9
Lachnospiraceae (OTU 16)	44.864242032980776	9.888248651955862e-10	3	Kruskal-Wallis rank sum test	0	0.018	0	0	1.057705654089286e-8
Lachnospiraceae (OTU 71)	44.81746581637698	1.0117184517375779e-9	3	Kruskal-Wallis rank sum test	0	0.001	0	0	1.057705654089286e-8
Lachnospiraceae (OTU 95)	44.97613837840362	9.361376205769855e-10	3	Kruskal-Wallis rank sum test	0	0.001	0	0	1.057705654089286e-8
Oscillibacter (OTU 119)	44.903755667721754	9.698895277146886e-10	3	Kruskal-Wallis rank sum test	0	0.001	0	0	1.057705654089286e-8
Ruminococcaceae (OTU 37)	44.1826993847991	1.3801635894100707e-9	3	Kruskal-Wallis rank sum test	0	0.002	0	0	1.4004601127837482e-8
Lachnospiraceae (OTU 36)	43.595139214211365	1.8396481126630263e-9	3	Kruskal-Wallis rank sum test	0	0.01	0	0	1.813367425339269e-8
Lachnospiraceae (OTU 81)	43.329260165103314	2.0950700291580325e-9	3	Kruskal-Wallis rank sum test	0	0.002	0	0	2.0077754446097813e-8
Bacteroides (OTU 1)	43.088058090035474	2.3573023546449898e-9	3	Kruskal-Wallis rank sum test	0.311	0.009	0.391	0.3795	2.1980251685203282e-8
Lachnospiraceae (OTU 82)	42.51806636817488	3.1147429067609165e-9	3	Kruskal-Wallis rank sum test	0	0.002	0	0	2.8278586916645164e-8
Lachnospiraceae (OTU 88)	41.91570684789403	4.1808237037505225e-9	3	Kruskal-Wallis rank sum test	0	0.002	0	0	3.698420968702386e-8
Lachnospiraceae (OTU 131)	41.67432158565533	4.704137075742524e-9	3	Kruskal-Wallis rank sum test	0	0.001	0	0	4.057318227827927e-8
Clostridiales (OTU 35)	41.56208254541037	4.969275171523978e-9	3	Kruskal-Wallis rank sum test	0	0.004	0	0	4.1814632540872494e-8
Lachnospiraceae (OTU 68)	40.947294177312855	6.709700360719392e-9	3	Kruskal-Wallis rank sum test	0	0.001	0	0	5.5115395820195004e-8
Ruminococcaceae (OTU 61)	40.8853184783405	6.915874028688852e-9	3	Kruskal-Wallis rank sum test	0	0.001	0	0	5.5487826509247766e-8
Lactobacillus (OTU 13)	40.237950679170524	9.486693650478868e-9	3	Kruskal-Wallis rank sum test	0	0.006	0	0	7.438430248670931e-8
Lachnospiraceae (OTU 29)	39.41792899251857	1.4155281861670665e-8	3	Kruskal-Wallis rank sum test	0	0.01	0	0	1.0852382760614176e-7
Lachnospiraceae (OTU 83)	39.0135539338909	1.7242276602896292e-8	3	Kruskal-Wallis rank sum test	0	0.002	0	0	1.2931707452172218e-7
