otu	statistic	p.value	parameter	method	WM	C	WMR	CWM	p.value.adj
Lachnospiraceae (OTU 29)	17.864462809917345	4.6908610788487656e-4	3	Kruskal-Wallis rank sum test	0	0.008	0	0	0.027359427439869882
Clostridiales (OTU 35)	17.70212765957446	5.066560637012941e-4	3	Kruskal-Wallis rank sum test	0	0.037000000000000005	0	0	0.027359427439869882
Bacteria (OTU 43)	18.558677685950418	3.372853662644335e-4	3	Kruskal-Wallis rank sum test	0	0.0175	0	0	0.027359427439869882
Lachnospiraceae (OTU 73)	20.344954128440364	1.4397110755012764e-4	3	Kruskal-Wallis rank sum test	0	0.0035	0	0	0.027359427439869882
Lachnospiraceae (OTU 71)	16.600711743772237	8.537492373018165e-4	3	Kruskal-Wallis rank sum test	0	0.0075	0	5e-4	0.03688196705143848
Ruminococcaceae (OTU 98)	16.193480546792856	0.0010349692317156204	3	Kruskal-Wallis rank sum test	0	0.006	0	0	0.037258892341762335
Peptostreptococcaceae (OTU 12)	14.403678304239403	0.0024041304160564727	3	Kruskal-Wallis rank sum test	0.009000000000000001	0	0	0.049	0.054471115251933724
Ruminococcaceae (OTU 27)	14.71174951581666	0.0020803067122129528	3	Kruskal-Wallis rank sum test	0.0025	0.019000000000000003	0	0	0.054471115251933724
Lachnospiraceae (OTU 34)	14.301831436699853	0.002521810891293228	3	Kruskal-Wallis rank sum test	0	0.0055	0	0	0.054471115251933724
Ruminococcaceae (OTU 50)	14.501142421934494	0.0022966174734439476	3	Kruskal-Wallis rank sum test	0	0.0035	0	0	0.054471115251933724
Lachnospiraceae (OTU 133)	14.041819852941174	0.002848777910731679	3	Kruskal-Wallis rank sum test	0	0.003	0	0	0.05593963897436752
Oscillibacter (OTU 57)	13.755963302752305	0.003256868751756277	3	Kruskal-Wallis rank sum test	0	0.0045000000000000005	0	0	0.05862363753161299
Lachnospiraceae (OTU 47)	13.576689189189194	0.003541820833423023	3	Kruskal-Wallis rank sum test	0.0015	0.009	0	0	0.05884871538610562
Lachnospiraceae (OTU 110)	13.135028653295137	0.004353513705822715	3	Kruskal-Wallis rank sum test	5e-4	0.0015	0	0	0.0626905973638471
Lachnospiraceae (OTU 112)	13.261794634597589	0.004103343139444989	3	Kruskal-Wallis rank sum test	0	0.001	0	0	0.0626905973638471
Lachnospiraceae (OTU 90)	12.350877192982448	0.006272947741671407	3	Kruskal-Wallis rank sum test	0	0.001	0	0	0.07691140291439506
Clostridiales (OTU 97)	12.350877192982448	0.006272947741671407	3	Kruskal-Wallis rank sum test	0	0.001	0	0	0.07691140291439506
Ruminococcaceae (OTU 118)	12.304619225967532	0.006409283576199589	3	Kruskal-Wallis rank sum test	0	0.001	0	0	0.07691140291439506
Enterobacteriaceae (OTU 2)	11.878738317757007	0.0078103083144991665	3	Kruskal-Wallis rank sum test	5e-4	0	5e-4	0.1005	0.08667229696178172
Lachnospiraceae (OTU 41)	11.820185069008781	0.008025212681646455	3	Kruskal-Wallis rank sum test	0	0.0035	5e-4	5e-4	0.08667229696178172
Butyricicoccus (OTU 56)	11.354700854700859	0.009954651211863483	3	Kruskal-Wallis rank sum test	0.003	0.0025	5e-4	0	0.10239069817916727
Acetatifactor (OTU 55)	11.086661911554922	0.011266373934353653	3	Kruskal-Wallis rank sum test	0	0.004	0	0	0.1106153077191086
Bacteroides (OTU 1)	10.757644394110992	0.013111234947987462	3	Kruskal-Wallis rank sum test	0.41700000000000004	0.003	0.577	0.0115	0.11800111453188716
Lachnospiraceae (OTU 75)	10.833452722063043	0.012661406708876603	3	Kruskal-Wallis rank sum test	0.0015	0	0	0	0.11800111453188716
Acetatifactor (OTU 79)	10.59900611620795	0.014104104701040933	3	Kruskal-Wallis rank sum test	0.0015	5e-4	0	0	0.12185946461699367
Lachnospiraceae (OTU 152)	10.40337837837837	0.015430868021779941	3	Kruskal-Wallis rank sum test	0	0.0015	0	0	0.12819490356555643
Lachnospiraceae (OTU 70)	10.209665144596654	0.01686545823310665	3	Kruskal-Wallis rank sum test	0.0025	0	0.0045000000000000005	0	0.1349236658648532
Porphyromonadaceae (OTU 8)	10.056544502617792	0.018091551239839004	3	Kruskal-Wallis rank sum test	0	0.368	0	0	0.13956339527875802
Lachnospiraceae (OTU 63)	9.919610091743127	0.019261985895692908	3	Kruskal-Wallis rank sum test	0	0.0025	5e-4	0	0.14346858460240233
Ruminococcaceae (OTU 54)	9.799266247379464	0.020351823494632156	3	Kruskal-Wallis rank sum test	0	0.002	0	0	0.14653312916135153
Lachnospiraceae (OTU 66)	9.69992354740061	0.021296921170994788	3	Kruskal-Wallis rank sum test	0	0.0015	5e-4	0	0.14839145073983465
Lachnospiraceae (OTU 111)	9.37407407407408	0.024709433417023766	3	Kruskal-Wallis rank sum test	0	0.001	0	0	0.16678867556491042
Lachnospiraceae (OTU 94)	9.210678807947017	0.026617055789941495	3	Kruskal-Wallis rank sum test	0.003	5e-4	0	0	0.1742207288068898
Lachnospiraceae (OTU 77)	8.80000000000002	0.03207164082526506	3	Kruskal-Wallis rank sum test	0	5e-4	0	0	0.17762754918608342
Anaeroplasma (OTU 89)	8.80000000000002	0.03207164082526506	3	Kruskal-Wallis rank sum test	0	5e-4	0	0	0.17762754918608342
Ruminococcaceae (OTU 92)	9.068349106203982	0.02839581599749427	3	Kruskal-Wallis rank sum test	0	0.0015	0	0	0.17762754918608342
Lachnospiraceae (OTU 117)	8.842105263157913	0.0314655391059218	3	Kruskal-Wallis rank sum test	0	5e-4	0	0	0.17762754918608342
Acetatifactor (OTU 138)	8.80000000000002	0.03207164082526506	3	Kruskal-Wallis rank sum test	0	5e-4	0	0	0.17762754918608342
Firmicutes (OTU 188)	8.80000000000002	0.03207164082526506	3	Kruskal-Wallis rank sum test	0	5e-4	0	0	0.17762754918608342
Lachnospiraceae (OTU 85)	8.561256544502607	0.035730432161250464	3	Kruskal-Wallis rank sum test	0	0.0015	0	0	0.1929443336707525
Ruminococcaceae (OTU 52)	8.3459595959596	0.03937753879056554	3	Kruskal-Wallis rank sum test	0	0.002	0.001	0	0.20745239948200384
Blautia (OTU 19)	7.549132947976872	0.05630936520945403	3	Kruskal-Wallis rank sum test	0	0	5e-4	0.004	0.28565321553770057
Lachnospiraceae (OTU 20)	7.527102402745992	0.056866149389449644	3	Kruskal-Wallis rank sum test	0.019	0.008	0.0115	0	0.28565321553770057
Lachnospiraceae (OTU 151)	7.276364113326336	0.0635917926570777	3	Kruskal-Wallis rank sum test	5e-4	0	5e-4	0	0.3121778912256542
Lachnospiraceae (OTU 46)	7.207391569945017	0.06557319776697121	3	Kruskal-Wallis rank sum test	0.003	0.004	0.0015	0	0.3147513492814618
Oscillibacter (OTU 119)	7.10635359116022	0.06858407881599644	3	Kruskal-Wallis rank sum test	0	0.001	0	0	0.32204697878815725
Lachnospiraceae (OTU 62)	7.0360155195681555	0.0707586518412074	3	Kruskal-Wallis rank sum test	0	0.002	0.0085	0	0.3251886978234213
Lachnospiraceae (OTU 42)	6.987155963302758	0.07230828431890396	3	Kruskal-Wallis rank sum test	0.0095	0	0	0	0.32538727943506784
Erysipelotrichaceae (OTU 39)	6.83389830508474	0.0773847238124515	3	Kruskal-Wallis rank sum test	0.001	0	0	0.006500000000000001	0.3411244968059086
Lactobacillus (OTU 13)	6.123516110797055	0.10575311614843887	3	Kruskal-Wallis rank sum test	0.0225	0.0275	0.0085	0.0235	0.36047501404208787
Porphyromonadaceae (OTU 14)	5.99502297090353	0.11185261961049826	3	Kruskal-Wallis rank sum test	0.14350000000000002	0	0	0	0.36047501404208787
Clostridium (OTU 22)	6.325688073394492	0.09679632742988595	3	Kruskal-Wallis rank sum test	0.0055	0.018	0.003	0.0085	0.36047501404208787
Lachnospiraceae (OTU 33)	6.378564857405695	0.09457661720004097	3	Kruskal-Wallis rank sum test	5e-4	5e-4	0	0	0.36047501404208787
Lachnospiraceae (OTU 64)	5.720817727840199	0.12601187333372757	3	Kruskal-Wallis rank sum test	0	0	5e-4	0	0.36047501404208787
Lachnospiraceae (OTU 68)	5.7523764258555055	0.12429920650115463	3	Kruskal-Wallis rank sum test	0	0	0.0015	0.002	0.36047501404208787
Lachnospiraceae (OTU 81)	6.105337078651694	0.10659631264261957	3	Kruskal-Wallis rank sum test	0	5e-4	0	0	0.36047501404208787
Lachnospiraceae (OTU 84)	5.731250000000008	0.12544325117389252	3	Kruskal-Wallis rank sum test	0	0.001	0	0	0.36047501404208787
Lachnospiraceae (OTU 86)	6.111227701993696	0.10632238597990597	3	Kruskal-Wallis rank sum test	0	0.001	0	0	0.36047501404208787
Lachnospiraceae (OTU 88)	5.587301587301612	0.13350926446003253	3	Kruskal-Wallis rank sum test	0	0	0	0	0.36047501404208787
Clostridiales (OTU 91)	6.362802881466931	0.09523312225067745	3	Kruskal-Wallis rank sum test	0.001	0	0	0.0015	0.36047501404208787
Firmicutes (OTU 96)	5.587301587301612	0.13350926446003253	3	Kruskal-Wallis rank sum test	0	0	0	0	0.36047501404208787
Ruminococcaceae (OTU 100)	5.587301587301612	0.13350926446003253	3	Kruskal-Wallis rank sum test	0	0	0	0	0.36047501404208787
Ruminococcaceae (OTU 101)	6.630143391521184	0.08466887563241361	3	Kruskal-Wallis rank sum test	0	5e-4	0	0	0.36047501404208787
Bacteria (OTU 108)	6.567955112219438	0.08702070464957756	3	Kruskal-Wallis rank sum test	0	0.001	0	0	0.36047501404208787
Clostridium (OTU 126)	6.179824561403514	0.10318170672800747	3	Kruskal-Wallis rank sum test	0	0	0	5e-4	0.36047501404208787
Firmicutes (OTU 129)	5.6000000000000245	0.13277835802222976	3	Kruskal-Wallis rank sum test	0	0	0	0	0.36047501404208787
Dorea (OTU 134)	5.587301587301612	0.13350926446003253	3	Kruskal-Wallis rank sum test	0	0	0	0	0.36047501404208787
Lachnospiraceae (OTU 135)	6.362047440699113	0.09526469691626643	3	Kruskal-Wallis rank sum test	0	5e-4	0	0	0.36047501404208787
Ruminococcaceae (OTU 143)	5.6000000000000245	0.13277835802222976	3	Kruskal-Wallis rank sum test	0	0	0	0	0.36047501404208787
Firmicutes (OTU 155)	5.587301587301612	0.13350926446003253	3	Kruskal-Wallis rank sum test	0	0	0	0	0.36047501404208787
Lachnospiraceae (OTU 160)	5.587301587301612	0.13350926446003253	3	Kruskal-Wallis rank sum test	0	0	0	0	0.36047501404208787
Streptococcus (OTU 166)	5.6000000000000245	0.13277835802222976	3	Kruskal-Wallis rank sum test	0	0	0	0	0.36047501404208787
Bacteria (OTU 168)	5.587301587301612	0.13350926446003253	3	Kruskal-Wallis rank sum test	0	0	0	0	0.36047501404208787
Porphyromonadaceae (OTU 194)	5.6000000000000245	0.13277835802222976	3	Kruskal-Wallis rank sum test	0	0	0	0	0.36047501404208787
Clostridiales (OTU 195)	5.587301587301612	0.13350926446003253	3	Kruskal-Wallis rank sum test	0	0	0	0	0.36047501404208787
Bacteria (OTU 223)	5.6000000000000245	0.13277835802222976	3	Kruskal-Wallis rank sum test	0	0	0	0	0.36047501404208787
Anaerotruncus (OTU 234)	5.6000000000000245	0.13277835802222976	3	Kruskal-Wallis rank sum test	0	0	0	0	0.36047501404208787
Coriobacteriaceae (OTU 265)	5.587301587301612	0.13350926446003253	3	Kruskal-Wallis rank sum test	0	0	0	0	0.36047501404208787
Blautia (OTU 273)	5.6000000000000245	0.13277835802222976	3	Kruskal-Wallis rank sum test	0	0	0	0	0.36047501404208787
Lachnospiraceae (OTU 287)	5.6000000000000245	0.13277835802222976	3	Kruskal-Wallis rank sum test	0	0	0	0	0.36047501404208787
Lachnospiraceae (OTU 121)	5.157894736842098	0.16059376185359667	3	Kruskal-Wallis rank sum test	0	5e-4	0	0	0.4282500316095911
Ruminococcaceae (OTU 65)	4.914825046040512	0.1781413797801296	3	Kruskal-Wallis rank sum test	0	0	5e-4	0.001	0.4692504638110731
Clostridium (OTU 51)	4.551285414480599	0.20776111029405822	3	Kruskal-Wallis rank sum test	0	5e-4	0	0	0.5038978249427425
Lachnospiraceae (OTU 74)	4.582914572864322	0.20501266481653735	3	Kruskal-Wallis rank sum test	0	0	0	0.002	0.5038978249427425
Lachnospiraceae (OTU 148)	4.499999999999961	0.2122902873601369	3	Kruskal-Wallis rank sum test	0	0	0	0	0.5038978249427425
Lachnospiraceae (OTU 239)	4.499999999999961	0.2122902873601369	3	Kruskal-Wallis rank sum test	0	0	0	0	0.5038978249427425
Lachnospiraceae (OTU 316)	4.499999999999961	0.2122902873601369	3	Kruskal-Wallis rank sum test	0	0	0	0	0.5038978249427425
Lachnospiraceae (OTU 370)	4.499999999999961	0.2122902873601369	3	Kruskal-Wallis rank sum test	0	0	0	0	0.5038978249427425
Lachnospiraceae (OTU 490)	4.499999999999961	0.2122902873601369	3	Kruskal-Wallis rank sum test	0	0	0	0	0.5038978249427425
Lachnospiraceae (OTU 506)	4.499999999999961	0.2122902873601369	3	Kruskal-Wallis rank sum test	0	0	0	0	0.5038978249427425
Clostridiales (OTU 1220)	4.499999999999961	0.2122902873601369	3	Kruskal-Wallis rank sum test	0	0	0	0	0.5038978249427425
Akkermansia (OTU 3)	3.007780979827087	0.3904270573345686	3	Kruskal-Wallis rank sum test	0.0565	0.005	0.0545	0.10550000000000001	0.5123355683321071
