genus	statistic	p.value	parameter	method	C	WMR	CWM	RM	FRM	p.value.adj
Staphylococcus	3.9000000000001442	0.4197085111801951	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.5341744687747937
Blautia	3.289199450306286	0.5106453280936593	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.5711768093423067
Clostridia Unclassified	3.0833333333333686	0.5439779136593398	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.5711768093423067
Clostridiales Incertae Sedis XIII Unclassified	3.0833333333333686	0.5439779136593398	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.5711768093423067
Clostridium sensu stricto	3.4545454545456256	0.48482338044034967	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.5711768093423067
Dorea	3.444959534847176	0.4862965659217575	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.5711768093423067
Ruminococcus	3.0833333333333686	0.5439779136593398	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.5711768093423067
Terrisporobacter	3.0833333333333686	0.5439779136593398	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.5711768093423067
Streptococcus	2.734235976789051	0.6032371886759721	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.6179502908388007
Erysipelotrichaceae Unclassified	1.5818088327715212	0.812057877554984	4	Kruskal-Wallis rank sum test	0	5e-4	0.002	0.0015	0.001	0.812057877554984
Acetitomaculum	NaN	NaN	4	Kruskal-Wallis rank sum test	0	0	0	0	0	NaN
Acetobacteraceae Unclassified	NaN	NaN	4	Kruskal-Wallis rank sum test	0	0	0	0	0	NaN
Acidaminococcaceae Unclassified	NaN	NaN	4	Kruskal-Wallis rank sum test	0	0	0	0	0	NaN
Acidaminococcus	NaN	NaN	4	Kruskal-Wallis rank sum test	0	0	0	0	0	NaN
Actinobacillus	NaN	NaN	4	Kruskal-Wallis rank sum test	0	0	0	0	0	NaN
Actinomyces	NaN	NaN	4	Kruskal-Wallis rank sum test	0	0	0	0	0	NaN
Actinomycetales Unclassified	NaN	NaN	4	Kruskal-Wallis rank sum test	0	0	0	0	0	NaN
Aerococcus	NaN	NaN	4	Kruskal-Wallis rank sum test	0	0	0	0	0	NaN
Aestuariispira	NaN	NaN	4	Kruskal-Wallis rank sum test	0	0	0	0	0	NaN
Alloprevotella	NaN	NaN	4	Kruskal-Wallis rank sum test	0	0	0	0	0	NaN
Alphaproteobacteria Unclassified	NaN	NaN	4	Kruskal-Wallis rank sum test	0	0	0	0	0	NaN
Anaerofustis	NaN	NaN	4	Kruskal-Wallis rank sum test	0	0	0	0	0	NaN
Anaerostipes	NaN	NaN	4	Kruskal-Wallis rank sum test	0	0	0	0	0	NaN
Anaerotruncus	NaN	NaN	4	Kruskal-Wallis rank sum test	0	0	0	0	0	NaN
Atopobium	NaN	NaN	4	Kruskal-Wallis rank sum test	0	0	0	0	0	NaN
Atopostipes	NaN	NaN	4	Kruskal-Wallis rank sum test	0	0	0	0	0	NaN
Aurantimonadaceae Unclassified	NaN	NaN	4	Kruskal-Wallis rank sum test	0	0	0	0	0	NaN
Bacillales Unclassified	NaN	NaN	4	Kruskal-Wallis rank sum test	0	0	0	0	0	NaN
Bacilli Unclassified	NaN	NaN	4	Kruskal-Wallis rank sum test	0	0	0	0	0	NaN
Bacillus	NaN	NaN	4	Kruskal-Wallis rank sum test	0	0	0	0	0	NaN
Bacteroidetes Unclassified	NaN	NaN	4	Kruskal-Wallis rank sum test	0	0	0	0	0	NaN
Barnesiella	NaN	NaN	4	Kruskal-Wallis rank sum test	0	0	0	0	0	NaN
Betaproteobacteria Unclassified	NaN	NaN	4	Kruskal-Wallis rank sum test	0	0	0	0	0	NaN
Bifidobacteriaceae Unclassified	NaN	NaN	4	Kruskal-Wallis rank sum test	0	0	0	0	0	NaN
Bilophila	NaN	NaN	4	Kruskal-Wallis rank sum test	0	0	0	0	0	NaN
Brachybacterium	NaN	NaN	4	Kruskal-Wallis rank sum test	0	0	0	0	0	NaN
Bradyrhizobium	NaN	NaN	4	Kruskal-Wallis rank sum test	0	0	0	0	0	NaN
Brucellaceae Unclassified	NaN	NaN	4	Kruskal-Wallis rank sum test	0	0	0	0	0	NaN
Burkholderia	NaN	NaN	4	Kruskal-Wallis rank sum test	0	0	0	0	0	NaN
Butyricimonas	NaN	NaN	4	Kruskal-Wallis rank sum test	0	0	0	0	0	NaN
Butyrivibrio	NaN	NaN	4	Kruskal-Wallis rank sum test	0	0	0	0	0	NaN
Campylobacter	NaN	NaN	4	Kruskal-Wallis rank sum test	0	0	0	0	0	NaN
