day	statistic	p.value	parameter	method	C	CWM	FRM	RM	p.value.adj
7	24.752104377104388	1.7397353659990714e-5	3	Kruskal-Wallis rank sum test	2.580013	1.7726875	2.0443145	1.3014890000000001	1.0438412195994428e-4
8	25.538123582766417	1.1915302869984064e-5	3	Kruskal-Wallis rank sum test	2.745468	1.6346625000000001	2.51954	1.7435335	1.0438412195994428e-4
5	23.814354113738517	2.7311419617699098e-5	3	Kruskal-Wallis rank sum test	2.3838445000000004	1.611269	1.800713	0.9434104999999999	1.0801674131850493e-4
6	23.155405405405418	3.748024931230678e-5	3	Kruskal-Wallis rank sum test	2.5928395	1.338306	2.0951355	1.0234635	1.0801674131850493e-4
9	22.774079254079254	4.5006975549377055e-5	3	Kruskal-Wallis rank sum test	2.550548	1.706962	2.6711985	1.8065455	1.0801674131850493e-4
15	17.82558139534885	4.7782425605371237e-4	3	Kruskal-Wallis rank sum test	2.7415564999999997	1.9386424999999998	3.136257	1.756963	9.556485121074247e-4
10	16.32557354925777	9.723509249970532e-4	3	Kruskal-Wallis rank sum test	2.70124	2.068449	2.627397	1.5543749999999998	0.0016668872999949483
0	14.663847780126844	0.002127658200944125	3	Kruskal-Wallis rank sum test	0.58433	0.537835	0.3348495	0.18103	0.003191487301416188
3	13.96275095404016	0.002956296034143431	3	Kruskal-Wallis rank sum test	2.218493	1.37829	2.065552	1.494465	0.003941728045524574
1	13.507460317460314	0.003658349858868742	3	Kruskal-Wallis rank sum test	1.1164144999999999	1.384584	0.8014435	0.6025400000000001	0.004240516429473266
2	13.377671312427395	0.003887140060350494	3	Kruskal-Wallis rank sum test	1.528946	1.1056015000000001	1.408594	1.261864	0.004240516429473266
-1	10.605226340007448	0.014063815170201305	3	Kruskal-Wallis rank sum test	3.196555	3.250532	2.889766	3.038332	0.014063815170201305
