effects	Df	SumsOfSqs	MeanSqs	F.Model	R2	Pr(>F)
unique_cage_no	29	39.2077952714714	1.3519929403955655	8.626353217994582	0.38241809434815643	1
Residuals	404	63.318198793485976	0.15672821483536134	NA	0.6175819056518436	NA
Total	433	102.52599406495737	NA	NA	1	NA
