genus	statistic	p.value	parameter	method	C	1RM1	M1	p.value.adj
Burkholderiales Unclassified	NA	NA	2	Kruskal-Wallis rank sum test	0	0	0	NA
Butyricicoccus	NA	NA	2	Kruskal-Wallis rank sum test	0	0	0	NA
Butyricimonas	NA	NA	2	Kruskal-Wallis rank sum test	0	0	0	NA
Butyrivibrio	NA	NA	2	Kruskal-Wallis rank sum test	0	0	0	NA
Carnobacteriaceae Unclassified	NA	NA	2	Kruskal-Wallis rank sum test	0	0	0	NA
Catonella	NA	NA	2	Kruskal-Wallis rank sum test	0	0	0	NA
Chitinophagaceae Unclassified	NA	NA	2	Kruskal-Wallis rank sum test	0	0	0	NA
Cloacibacillus	NA	NA	2	Kruskal-Wallis rank sum test	0	0	0	NA
Cloacibacterium	NA	NA	2	Kruskal-Wallis rank sum test	0	0	0	NA
Clostridia Unclassified	NA	NA	2	Kruskal-Wallis rank sum test	0	0	0	NA
Clostridiaceae 1 Unclassified	NA	NA	2	Kruskal-Wallis rank sum test	0	0	0	NA
Clostridiales Incertae Sedis XIII Unclassified	NA	NA	2	Kruskal-Wallis rank sum test	0	0	0	NA
Clostridium sensu stricto	NA	NA	2	Kruskal-Wallis rank sum test	0	0	0	NA
Clostridium XI	NA	NA	2	Kruskal-Wallis rank sum test	0	0	0	NA
Clostridium XlVb	NA	NA	2	Kruskal-Wallis rank sum test	0	0	0	NA
Clostridium XVIII	NA	NA	2	Kruskal-Wallis rank sum test	0	0	0	NA
Collinsella	NA	NA	2	Kruskal-Wallis rank sum test	0	0	0	NA
Comamonadaceae Unclassified	NA	NA	2	Kruskal-Wallis rank sum test	0	0	0	NA
Corynebacterium	NA	NA	2	Kruskal-Wallis rank sum test	0	0	0	NA
Curvibacter	NA	NA	2	Kruskal-Wallis rank sum test	0	0	0	NA
Cystobacter	NA	NA	2	Kruskal-Wallis rank sum test	0	0	0	NA
Desulfovibrio	NA	NA	2	Kruskal-Wallis rank sum test	0	0	0	NA
Devosia	NA	NA	2	Kruskal-Wallis rank sum test	0	0	0	NA
Dialister	NA	NA	2	Kruskal-Wallis rank sum test	0	0	0	NA
Dysgonomonas	NA	NA	2	Kruskal-Wallis rank sum test	0	0	0	NA
Enterococcus	NA	NA	2	Kruskal-Wallis rank sum test	0	0	0	NA
Escherichia/Shigella	NA	NA	2	Kruskal-Wallis rank sum test	0	0	0	NA
Eubacterium	NA	NA	2	Kruskal-Wallis rank sum test	0	0	0	NA
Faecalibacterium	NA	NA	2	Kruskal-Wallis rank sum test	0	0	0	NA
Finegoldia	NA	NA	2	Kruskal-Wallis rank sum test	0	0	0	NA
Firmicutes Unclassified	NA	NA	2	Kruskal-Wallis rank sum test	0	0	0	NA
Flavobacteriaceae Unclassified	NA	NA	2	Kruskal-Wallis rank sum test	0	0	0	NA
Flavobacterium	NA	NA	2	Kruskal-Wallis rank sum test	0	0	0	NA
Flavonifractor	NA	NA	2	Kruskal-Wallis rank sum test	0	0	0	NA
Fusicatenibacter	NA	NA	2	Kruskal-Wallis rank sum test	0	0	0	NA
Fusobacteriaceae Unclassified	NA	NA	2	Kruskal-Wallis rank sum test	0	0	0	NA
Fusobacterium	NA	NA	2	Kruskal-Wallis rank sum test	0	0	0	NA
Gemella	NA	NA	2	Kruskal-Wallis rank sum test	0	0	0	NA
Gemmata	NA	NA	2	Kruskal-Wallis rank sum test	0	0	0	NA
Geobacillus	NA	NA	2	Kruskal-Wallis rank sum test	0	0	0	NA
Granulicatella	NA	NA	2	Kruskal-Wallis rank sum test	0	0	0	NA
Hungatella	NA	NA	2	Kruskal-Wallis rank sum test	0	0	0	NA
Hyphomicrobium	NA	NA	2	Kruskal-Wallis rank sum test	0	0	0	NA
Janthinobacterium	NA	NA	2	Kruskal-Wallis rank sum test	0	0	0	NA
Jeotgalicoccus	NA	NA	2	Kruskal-Wallis rank sum test	0	0	0	NA
Lactobacillaceae Unclassified	NA	NA	2	Kruskal-Wallis rank sum test	0	0	0	NA
Leptotrichia	NA	NA	2	Kruskal-Wallis rank sum test	0	0	0	NA
Listeria	NA	NA	2	Kruskal-Wallis rank sum test	0	0	0	NA
Lysobacter	NA	NA	2	Kruskal-Wallis rank sum test	0	0	0	NA
Mannheimia	NA	NA	2	Kruskal-Wallis rank sum test	0	0	0	NA
Marmoricola	NA	NA	2	Kruskal-Wallis rank sum test	0	0	0	NA
Megasphaera	NA	NA	2	Kruskal-Wallis rank sum test	0	0	0	NA
Methylobacterium	NA	NA	2	Kruskal-Wallis rank sum test	0	0	0	NA
Morganella	NA	NA	2	Kruskal-Wallis rank sum test	0	0	0	NA
Mucispirillum	NA	NA	2	Kruskal-Wallis rank sum test	0	0	0	NA
Neisseria	NA	NA	2	Kruskal-Wallis rank sum test	0	0	0	NA
Neisseriaceae Unclassified	NA	NA	2	Kruskal-Wallis rank sum test	0	0	0	NA
Odoribacter	NA	NA	2	Kruskal-Wallis rank sum test	0	0	0	NA
Oscillibacter	NA	NA	2	Kruskal-Wallis rank sum test	0	0	0	NA
Paraprevotella	NA	NA	2	Kruskal-Wallis rank sum test	0	0	0	NA
Parasutterella	NA	NA	2	Kruskal-Wallis rank sum test	0	0	0	NA
Parvimonas	NA	NA	2	Kruskal-Wallis rank sum test	0	0	0	NA
Pasteurellaceae Unclassified	NA	NA	2	Kruskal-Wallis rank sum test	0	0	0	NA
Pectinatus	NA	NA	2	Kruskal-Wallis rank sum test	0	0	0	NA
Peptoniphilus	NA	NA	2	Kruskal-Wallis rank sum test	0	0	0	NA
Peptostreptococcus	NA	NA	2	Kruskal-Wallis rank sum test	0	0	0	NA
Phenylobacterium	NA	NA	2	Kruskal-Wallis rank sum test	0	0	0	NA
Phocaeicola	NA	NA	2	Kruskal-Wallis rank sum test	0	0	0	NA
Phyllobacteriaceae Unclassified	NA	NA	2	Kruskal-Wallis rank sum test	0	0	0	NA
Phyllobacterium	NA	NA	2	Kruskal-Wallis rank sum test	0	0	0	NA
Porphyromonas	NA	NA	2	Kruskal-Wallis rank sum test	0	0	0	NA
Prevotella	NA	NA	2	Kruskal-Wallis rank sum test	0	0	0	NA
Proteobacteria Unclassified	NA	NA	2	Kruskal-Wallis rank sum test	0	0	0	NA
Proteus	NA	NA	2	Kruskal-Wallis rank sum test	0	0	0	NA
Pseudoflavonifractor	NA	NA	2	Kruskal-Wallis rank sum test	0	0	0	NA
Pseudomonas	NA	NA	2	Kruskal-Wallis rank sum test	0	0	0	NA
Pyramidobacter	NA	NA	2	Kruskal-Wallis rank sum test	0	0	0	NA
Ralstonia	NA	NA	2	Kruskal-Wallis rank sum test	0	0	0	NA
Romboutsia	NA	NA	2	Kruskal-Wallis rank sum test	0	0	0	NA
