genus	statistic	p.value	parameter	method	WM	C	WMN	CN	p.value.adj
Oscillibacter	50.1066642857814	7.582031523272478e-11	3	Kruskal-Wallis rank sum test	0	0.011	0	0.014	3.411914185472615e-9
Acetatifactor	47.5594792411132	2.6424606117758266e-10	3	Kruskal-Wallis rank sum test	0	0.02	0	0.017	5.493096391264951e-9
Unclassified	46.89330261557061	3.662064260843301e-10	3	Kruskal-Wallis rank sum test	0	0.002	0	0.031	5.493096391264951e-9
Ruminococcaceae Unclassified	45.93266220226425	5.861570383643355e-10	3	Kruskal-Wallis rank sum test	0	0.073	0.001	0.073	6.594266681598774e-9
Bacteroides	44.94054989929735	9.525832209428315e-10	3	Kruskal-Wallis rank sum test	0.4625	0.026	0.652	0.01	8.573248988485484e-9
Butyricicoccus	39.134636254706734	1.625334510618021e-8	3	Kruskal-Wallis rank sum test	0	0.001	0	0.007	1.2190008829635158e-7
Clostridium XlVa	33.87633535382769	2.1039274585395432e-7	3	Kruskal-Wallis rank sum test	0	0.02	0	0.018	1.3525247947754207e-6
Peptostreptococcaceae Unclassified	32.931863156221404	3.3290362960523326e-7	3	Kruskal-Wallis rank sum test	0.007	0	0	0	1.872582916529437e-6
Pseudoflavonifractor	32.32467511781316	4.4704802437216595e-7	3	Kruskal-Wallis rank sum test	0	0.003	0	0.007	2.23524012186083e-6
Lactobacillus	31.56229424696942	6.47169182964127e-7	3	Kruskal-Wallis rank sum test	0.0055	0.024	0.007	0.014	2.912261323338572e-6
Clostridium XlVb	30.927574774762224	8.804252934395869e-7	3	Kruskal-Wallis rank sum test	0	0.028	0	0.007	3.301594850398451e-6
Dorea	31.04108363682831	8.332837553962904e-7	3	Kruskal-Wallis rank sum test	0.001	0	0.001	0	3.301594850398451e-6
Turicibacter	29.112987374437594	2.1202834437442697e-6	3	Kruskal-Wallis rank sum test	0.010499999999999999	0.007	0.043	0.021	7.339442689884011e-6
Firmicutes Unclassified	25.769063122362418	1.0660436382535817e-5	3	Kruskal-Wallis rank sum test	0	0.002	0	0	3.426568837243656e-5
Lachnospiraceae Unclassified	24.989484630817902	1.5518862914323956e-5	3	Kruskal-Wallis rank sum test	0.292	0.511	0.186	0.436	4.655658874297187e-5
Clostridium IV	23.88875087230177	2.6352137198797765e-5	3	Kruskal-Wallis rank sum test	0	0	0	0.002	7.41153858716187e-5
Blautia	13.881848013787462	0.0030704697511292622	3	Kruskal-Wallis rank sum test	0	0	0.001	0	0.00812771404710687
Enterobacteriaceae Unclassified	13.517486438452806	0.003641241257582743	3	Kruskal-Wallis rank sum test	0.0205	0.016	0.037	0.004	0.009103103143956856
Bifidobacterium	12.134766027292176	0.006935482155165651	3	Kruskal-Wallis rank sum test	0	0.001	0	0	0.016426141946444962
Porphyromonadaceae Unclassified	10.5508602239573	0.014419822429466305	3	Kruskal-Wallis rank sum test	0.0045000000000000005	0.038	0.006	0.016	0.032444600466299184
