day	statistic	p.value	parameter	method	C	WM	WMC	WMR	p.value.adj
-5	54.77827839696465	7.656212036988908e-12	3	Kruskal-Wallis rank sum test	0	0	0	1.0500000000000007	1.5312424073977815e-10
-3	41.713089192655254	4.615880375604107e-9	3	Kruskal-Wallis rank sum test	-0.09999999999999964	-2.1999999999999993	-2.3000000000000007	0.3000000000000007	4.6158803756041065e-8
-1	39.701251965646534	1.2327575935793687e-8	3	Kruskal-Wallis rank sum test	0.15000000000000036	-2.5	-2.8000000000000007	-0.10000000000000142	8.218383957195791e-8
0	34.38747376406626	1.6410233657215649e-7	3	Kruskal-Wallis rank sum test	-0.25	-3.049999999999999	-2.1999999999999993	-0.1999999999999993	8.205116828607825e-7
-2	19.060882217797523	7.260758907386926e-5	2	Kruskal-Wallis rank sum test	0.29999999999999716	-2.5999999999999996	NA	-0.09999999999999787	2.9043035629547706e-4
-4	14.942557748202532	5.691998962048589e-4	2	Kruskal-Wallis rank sum test	0.40000000000000213	-1.1500000000000004	NA	0.9000000000000021	0.0018973329873495297
1	14.432200349174474	0.0023721613661653366	3	Kruskal-Wallis rank sum test	-0.40000000000000036	-1.7999999999999972	-1.6000000000000014	0.3000000000000007	0.006777603903329533
2	9.712648520644885	0.021173496826887205	3	Kruskal-Wallis rank sum test	-0.1999999999999993	-1.7999999999999972	-1.1000000000000014	0.1999999999999993	0.052933742067218015
3	6.9634186393374	0.07307293001155608	3	Kruskal-Wallis rank sum test	-0.6500000000000004	-1	-1.5	-0.1999999999999993	0.16238428891456907
15	2.629558323895809	0.26853361913297225	2	Kruskal-Wallis rank sum test	0.34999999999999964	0.09999999999999964	NA	1.1500000000000004	0.5370672382659445
4	3.672828661531939	0.29902883764775323	3	Kruskal-Wallis rank sum test	-0.34999999999999964	-0.20000000000000284	-0.8000000000000007	0.3999999999999986	0.5436887957231876
7	2.2267685342388104	0.3284455306549982	2	Kruskal-Wallis rank sum test	0	0.5999999999999996	NA	0.3500000000000014	0.5474092177583304
8	1.9711538461538403	0.3732238433646644	2	Kruskal-Wallis rank sum test	-0.2500000000000018	0.10000000000000142	NA	0.34999999999999964	0.57419052825333
6	2.3155593573061766	0.5095467023647712	3	Kruskal-Wallis rank sum test	-0.1999999999999993	0.6000000000000014	-0.5	1.7763568394002505e-15	0.7279238605211017
5	1.4558753093964398	0.6924910756800133	3	Kruskal-Wallis rank sum test	-0.10000000000000142	0.10000000000000142	-0.5	-0.09999999999999787	0.7694345285333481
9	0.78356824925815	0.6758499975826369	2	Kruskal-Wallis rank sum test	-0.40000000000000036	-0.25	NA	-0.14999999999999858	0.7694345285333481
10	0.8225988700564996	0.662788439809315	2	Kruskal-Wallis rank sum test	-0.15000000000000213	-0.15000000000000036	NA	0.3999999999999986	0.7694345285333481
20	0.7927519818799537	0.6727536990824134	2	Kruskal-Wallis rank sum test	0.29999999999999716	0.75	NA	1.049999999999999	0.7694345285333481
25	0.09310471976401263	0.9545145809906853	2	Kruskal-Wallis rank sum test	0.9499999999999993	1.0999999999999996	NA	1.1999999999999993	0.9545145809906853
30	0.10724852071006169	0.9477881611928702	2	Kruskal-Wallis rank sum test	0.7999999999999989	1.25	NA	1.1999999999999993	0.9545145809906853
