day	statistic	p.value	parameter	method	WM	C	WMC	WMR	p.value.adj
6	47.744917850181025	4.288671871066712e-11	2	Kruskal-Wallis rank sum test	1.466909	3.163116	1.380335	NA	8.577343742133423e-11
30	18.254445964432307	1.0866693649171646e-4	2	Kruskal-Wallis rank sum test	2.843252	3.492004	NA	2.998703	1.0866693649171646e-4
