genus	statistic	p.value	parameter	method	C	CWM	FRM	RM	p.value.adj
Ruminococcaceae Unclassified	31.119483415404613	8.022027141220746e-7	3	Kruskal-Wallis rank sum test	0.009	0	0.007	0.005	2.7274892280150537e-5
Lachnospiraceae Unclassified	24.807219259129713	1.694194209999999e-5	3	Kruskal-Wallis rank sum test	0.069	0.001	0.093	0.032	2.8801301569999983e-4
Akkermansia	22.405047652664994	5.372115194170233e-5	3	Kruskal-Wallis rank sum test	0.2415	0.001	0.095	0.219	6.088397220059598e-4
Peptostreptococcaceae Unclassified	17.929066422594165	4.549171539869065e-4	3	Kruskal-Wallis rank sum test	0.006	0.093	0.062	0.011	0.0038667958088887053
Lactobacillus	15.84858520713498	0.0012179849156321425	3	Kruskal-Wallis rank sum test	0.07100000000000001	0.0465	0.083	0.0285	0.008282297426298569
Enterobacteriaceae Unclassified	14.165962359501586	0.002687736157818285	3	Kruskal-Wallis rank sum test	0.191	0.571	0.545	0.17	0.015230504894303616
Erysipelotrichaceae Unclassified	13.179578328021558	0.004263920833561209	3	Kruskal-Wallis rank sum test	0	0.001	0	0	0.019617395188508913
Unclassified	13.009615384615426	0.004615857691413862	3	Kruskal-Wallis rank sum test	0	0	0	0	0.019617395188508913
Bifidobacterium	12.075444948525572	0.007129136086371236	3	Kruskal-Wallis rank sum test	0.016	0.018	0.017	0.006500000000000001	0.025248693545562542
Butyricicoccus	11.98750487003951	0.00742608633693016	3	Kruskal-Wallis rank sum test	0.001	0	0	0	0.025248693545562542
Coriobacteriaceae Unclassified	11.338704088704036	0.010028522028525255	3	Kruskal-Wallis rank sum test	0	0	0.001	0	0.030997249906350787
Clostridium IV	9.412306289881474	0.02428280882059754	3	Kruskal-Wallis rank sum test	0	0	0	0	0.0596311352247095
Clostridium XlVa	9.38792811122417	0.024553996857233328	3	Kruskal-Wallis rank sum test	0	0	0	0	0.0596311352247095
Oscillibacter	9.54970760233913	0.02280839254054813	3	Kruskal-Wallis rank sum test	0	0	0	0	0.0596311352247095
Pseudoflavonifractor	7.930305054553571	0.04747426542035735	3	Kruskal-Wallis rank sum test	0	0	0	0	0.10760833495280998
Bacteroides	6.883235285509403	0.07571406399171567	3	Kruskal-Wallis rank sum test	0.248	0.033	0.001	0.255	0.1608923859823958
Clostridium XlVb	5.841820987654284	0.11956477330284934	3	Kruskal-Wallis rank sum test	0	0	0	0	0.23912954660569868
Clostridium sensu stricto	4.92577958137551	0.17731330387519995	3	Kruskal-Wallis rank sum test	0	0	0	0	0.33492512954204434
Blautia	4.148835716905009	0.24583458277915304	3	Kruskal-Wallis rank sum test	0.001	0	0.001	0	0.42207413042429526
Escherichia/Shigella	4.125000000000059	0.24827890024958546	3	Kruskal-Wallis rank sum test	0	0	0	0	0.42207413042429526
Turicibacter	3.0453562949576356	0.38468485619462106	3	Kruskal-Wallis rank sum test	5e-4	0	0	0.001	0.622823100505577
Acetatifactor	2.578828828828833	0.4612132212289293	3	Kruskal-Wallis rank sum test	0	0	0	0	0.6881623293155593
Anaerotruncus	1.5624999999999438	0.6679222608062781	3	Kruskal-Wallis rank sum test	0	0	0	0	0.6881623293155593
Bacteroidales Unclassified	2.416666666666715	0.49053966890384815	3	Kruskal-Wallis rank sum test	0	0	0	0	0.6881623293155593
Clostridiaceae 1 Unclassified	1.5624999999999438	0.6679222608062781	3	Kruskal-Wallis rank sum test	0	0	0	0	0.6881623293155593
Corynebacterium	1.5624999999999438	0.6679222608062781	3	Kruskal-Wallis rank sum test	0	0	0	0	0.6881623293155593
Enterococcus	1.5624999999999438	0.6679222608062781	3	Kruskal-Wallis rank sum test	0	0	0	0	0.6881623293155593
Firmicutes Unclassified	2.3290598290598106	0.5069766858789465	3	Kruskal-Wallis rank sum test	0	0	0	0	0.6881623293155593
Olsenella	1.891025641025671	0.5953297853668711	3	Kruskal-Wallis rank sum test	0	0	0	0	0.6881623293155593
Parasutterella	1.5624999999999438	0.6679222608062781	3	Kruskal-Wallis rank sum test	0	0	0	0	0.6881623293155593
Porphyromonadaceae Unclassified	1.6832208293153392	0.6406706099958608	3	Kruskal-Wallis rank sum test	0.0015	0.001	0.002	0	0.6881623293155593
Staphylococcus	1.5624999999999438	0.6679222608062781	3	Kruskal-Wallis rank sum test	0	0	0	0	0.6881623293155593
Streptococcus	1.5624999999999438	0.6679222608062781	3	Kruskal-Wallis rank sum test	0	0	0	0	0.6881623293155593
Enterorhabdus	0.6541563275434014	0.8839300996479262	3	Kruskal-Wallis rank sum test	0	0	0	0	0.8839300996479262
