otu	statistic	p.value	parameter	method	WM	C	WMR	CWM	RM	FRM	WMC	1RM1	WMN	CN	p.value.adj
Phascolarctobacterium (OTU 331)	29.33333333333338	5.692415562037919e-4	9	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0	0.004180981085220954
Lachnospiraceae (OTU 441)	29.33333333333338	5.692415562037919e-4	9	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0	0.004180981085220954
Alloprevotella (OTU 1140)	29.33333333333338	5.692415562037919e-4	9	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0	0.004180981085220954
Parvimonas (OTU 1654)	29.33333333333338	5.692415562037919e-4	9	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0	0.004180981085220954
Dorea (OTU 134)	28.648148148147826	7.427668724775074e-4	9	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0	0.005103527220571261
Lachnospiraceae (OTU 193)	28.65168539325812	7.417504661756309e-4	9	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0	0.005103527220571261
Porphyromonadaceae (OTU 6)	28.32728005435732	8.408461615924528e-4	9	Kruskal-Wallis rank sum test	0.001	0	0	0	0	5e-4	0.002	0.0315	0.001	5e-4	0.005468997345351536
Enterorhabdus (OTU 109)	28.307438146505323	8.473094478713648e-4	9	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.001	0	0	0.005468997345351536
Lachnospiraceae (OTU 150)	27.98250710043887	9.603079906363707e-4	9	Kruskal-Wallis rank sum test	0	0	5e-4	0	0	0	0	0	0	0	0.006016047117810204
Lactobacillus (OTU 1339)	24.90185185185183	0.0030816908635824636	9	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0	0.018754290112658993
Porphyromonadaceae (OTU 8)	24.612484904551906	0.0034311194889911994	9	Kruskal-Wallis rank sum test	5e-4	0	0	0	0	0	0.001	0.014	0	0	0.0203007903098646
