otu	statistic	p.value	parameter	method	WM	C	WMR	CWM	RM	FRM	M1	1RM1	p.value.adj
Lachnospiraceae (OTU 32)	56.67637468268388	6.931770202897094e-10	7	Kruskal-Wallis rank sum test	0	0	0.004	0	0	0	0	0.001	1.920100346202495e-7
Enterobacteriaceae (OTU 2)	53.97974362422858	2.37368968813874e-9	7	Kruskal-Wallis rank sum test	0.1285	0.246	0.002	0.571	0.17	0.545	0.072	0.0045000000000000005	2.1917068120481032e-7
Ruminococcaceae (OTU 37)	54.08874205218443	2.2587237883377826e-9	7	Kruskal-Wallis rank sum test	0	0.006500000000000001	0	0	0.002	0.006	0	0	2.1917068120481032e-7
Bifidobacterium (OTU 28)	52.7179302038259	4.214240907366825e-9	7	Kruskal-Wallis rank sum test	0.001	0.0125	0	0.018	0.006500000000000001	0.017	0	0.0045000000000000005	2.918361828351526e-7
Clostridiales (OTU 91)	50.6596276329919	1.0718461135466529e-8	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.001	5.938027469048456e-7
Porphyromonadaceae (OTU 14)	49.62477136390181	1.711385432842355e-8	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.0275	6.772196641390461e-7
Erysipelotrichaceae (OTU 39)	49.69751970854513	1.65606032284607e-8	7	Kruskal-Wallis rank sum test	0.002	0	0.003	0	0	0	0	0.006500000000000001	6.772196641390461e-7
Porphyromonadaceae (OTU 8)	47.82803932267678	3.8471007413950414e-8	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.017	0.0165	1.3035638852036204e-6
Lactobacillus (OTU 9)	47.37994383822394	4.706006805789243e-8	7	Kruskal-Wallis rank sum test	0.008	0.046	0	0.024	0.0175	0.066	0.008	0.004	1.3035638852036204e-6
Porphyromonadaceae (OTU 10)	47.39803457288507	4.667893067750707e-8	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.055	0.1325	1.3035638852036204e-6
Lachnospiraceae (OTU 74)	46.75443037974707	6.232680706913328e-8	7	Kruskal-Wallis rank sum test	0	0	0.002	0	0	0	0	0	1.4387104631791598e-6
Bacteroides (OTU 296)	46.76923076923097	6.191412176290563e-8	7	Kruskal-Wallis rank sum test	0	0	0.001	0	0	0	0	0	1.4387104631791598e-6
Lachnospiraceae (OTU 33)	46.157722616233265	8.145405317073854e-8	7	Kruskal-Wallis rank sum test	0	0.004	0	0	0.0015	0.006	0	0	1.7355979021765057e-6
Porphyromonadaceae (OTU 25)	45.22182648401816	1.2384806884492243e-7	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.0015	2.450422505003108e-6
Porphyromonadaceae (OTU 87)	44.36461172398875	1.8163357195324508e-7	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.0025	3.354166628736592e-6
Lachnospiraceae (OTU 111)	44.059722039673815	2.0809386039285513e-7	7	Kruskal-Wallis rank sum test	0	0.0025	0	0	0.0015	0.005	0	0	3.6026249580513045e-6
Lachnospiraceae (OTU 31)	43.70429448588138	2.4381084071394526e-07	7	Kruskal-Wallis rank sum test	0	0.003	0	0	0	0.005	0	0	3.972682522221343e-6
Lachnospiraceae (OTU 4)	43.284112898337966	2.939652562485765e-7	7	Kruskal-Wallis rank sum test	0	0.0305	0.035	0	0.0115	0.029	0	0.0035	4.5237986656030946e-06
Lachnospiraceae (OTU 75)	42.95092262283955	3.4092061991500833e-7	7	Kruskal-Wallis rank sum test	0	0	0.001	0	0	0	0	0.0035	4.970263774550385e-6
Porphyromonadaceae (OTU 48)	41.98615617564353	5.231978045422123e-7	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.010499999999999999	7.24628959290964e-6
Lachnospiraceae (OTU 24)	41.631988251452626	6.121007577063937e-7	7	Kruskal-Wallis rank sum test	0	0.004	0.006	0	0.0035	0.006	0	0	8.073900470698622e-6
Lachnospiraceae (OTU 26)	40.25366669947828	1.1256040801512484e-6	7	Kruskal-Wallis rank sum test	0	0	0.001	0	0	0	0.002	0.0045000000000000005	1.4172378645540719e-5
Porphyromonadaceae (OTU 6)	39.99806908417873	1.2598619706823555e-6	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.233	0.16349999999999998	1.5173120255609236e-5
Lachnospiraceae (OTU 20)	39.77054019247314	1.3926843890649408e-6	7	Kruskal-Wallis rank sum test	0	0	0.004	0	0	0	0	5e-4	1.6073898990457858e-5
