otu	statistic	p.value	parameter	method	WM	C	WMR	CWM	RM	FRM	WMC	M1	p.value.adj
Faecalibacterium (OTU 262)	9.250000000000274	0.23520199567560365	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.6331339519984632
Aerococcus (OTU 281)	9.250000000000274	0.23520199567560365	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.6331339519984632
Phascolarctobacterium (OTU 331)	9.250000000000274	0.23520199567560365	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.6331339519984632
Bacteroides (OTU 361)	9.250000000000274	0.23520199567560365	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.6331339519984632
Ruminococcus (OTU 477)	9.250000000000274	0.23520199567560365	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.6331339519984632
Ralstonia (OTU 484)	9.250000000000274	0.23520199567560365	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.6331339519984632
Porphyromonadaceae (OTU 552)	9.250000000000274	0.23520199567560365	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.6331339519984632
Bacteroides (OTU 556)	9.250000000000274	0.23520199567560365	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.6331339519984632
Streptococcus (OTU 662)	9.250000000000274	0.23520199567560365	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.6331339519984632
Porphyromonadaceae (OTU 668)	9.250000000000274	0.23520199567560365	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.6331339519984632
Enterobacteriaceae (OTU 1756)	9.250000000000274	0.23520199567560365	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.6331339519984632
Enterobacteriaceae (OTU 4193)	9.250000000000274	0.23520199567560365	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.6331339519984632
Butyricicoccus (OTU 56)	9.081714627198306	0.2468424114484558	7	Kruskal-Wallis rank sum test	0	5e-4	5e-4	0	0	0	0	5e-4	0.6524935080758442
Lachnospiraceae (OTU 149)	9.044999999999899	0.24944136269854086	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.6524935080758442
Lachnospiraceae (OTU 249)	9.044999999999899	0.24944136269854086	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.6524935080758442
Akkermansia (OTU 352)	9.044999999999899	0.24944136269854086	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.6524935080758442
Porphyromonadaceae (OTU 375)	9.044999999999899	0.24944136269854086	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.6524935080758442
Lachnospiraceae (OTU 34)	8.973741881958569	0.2545467771419722	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.002	0.662107628183894
Clostridiales (OTU 170)	8.905883713465641	0.2594840571465692	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.67117943273107
Lachnospiraceae (OTU 94)	8.871411317909567	0.26202055527819257	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.6739750949655732
Lachnospiraceae (OTU 140)	8.730705774683244	0.27257284849097785	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.001	0.6972443582946007
Lachnospiraceae (OTU 157)	8.599458204334177	0.28270605015150085	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.719191764945851
Lachnospiraceae (OTU 81)	8.391282800456919	0.29935794984790765	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	5e-4	0.7544651189452561
Clostridiales (OTU 224)	8.38550093050662	0.29983063042316876	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.7544651189452561
Ruminococcaceae (OTU 153)	8.238543154360775	0.31203026465928524	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.7809189866878329
Bacteria (OTU 215)	8.194281548909725	0.31577464803949656	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.7829222546064237
Porphyromonadaceae (OTU 378)	8.189128816083674	0.3162126600678212	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.7829222546064237
Lachnospiraceae (OTU 46)	7.932531512765351	0.33858082647379584	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.8159620470171218
Lachnospiraceae (OTU 58)	7.95636220918096	0.33645758234838247	7	Kruskal-Wallis rank sum test	0	0	0	0	5e-4	0	0	0	0.8159620470171218
Lachnospiraceae (OTU 72)	7.9151983567966635	0.3401310476766836	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.8159620470171218
Lachnospiraceae (OTU 131)	7.951357466063328	0.33690271219040385	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.8159620470171218
Lachnospiraceae (OTU 150)	7.990253496503488	0.3334541261159635	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.8159620470171218
Lachnospiraceae (OTU 328)	7.951357466063328	0.33690271219040385	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.8159620470171218
Clostridiales_Incertae_Sedis_XIII (OTU 284)	7.879366073241728	0.3433514805019888	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.8194419354248496
Lachnospiraceae (OTU 189)	7.811277709334458	0.3495291969633712	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.829907785610466
Lachnospiraceae (OTU 164)	7.742647058823542	0.3558331821935056	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.8362982911451426
Porphyromonadaceae (OTU 383)	7.742647058823542	0.3558331821935056	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.8362982911451426
Lachnospiraceae (OTU 31)	7.499209312349137	0.37881309661920337	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	5e-4	0.8403088000358591
Lachnospiraceae (OTU 85)	7.30951800539291	0.3973798477649671	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.8403088000358591
Lachnospiraceae (OTU 95)	7.525018853695396	0.37633128115314274	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.8403088000358591
Lachnospiraceae (OTU 123)	7.315312500000305	0.39680425453869134	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.8403088000358591
Alistipes (OTU 139)	7.2169258887106205	0.4066486563824408	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.8403088000358591
Lachnospiraceae (OTU 160)	7.2000000000004425	0.4083574082247695	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.8403088000358591
Veillonella (OTU 192)	7.2000000000004425	0.4083574082247695	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.8403088000358591
Clostridiales (OTU 199)	7.2000000000004425	0.4083574082247695	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.8403088000358591
Akkermansia (OTU 200)	7.2000000000004425	0.4083574082247695	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.8403088000358591
Clostridiales (OTU 226)	7.2000000000004425	0.4083574082247695	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.8403088000358591
Bacteroides (OTU 237)	7.3986322361114905	0.388586263295917	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.8403088000358591
Coriobacteriaceae (OTU 252)	7.3356617647057565	0.39478705285128685	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.8403088000358591
Bacteroides (OTU 256)	7.2000000000004425	0.4083574082247695	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.8403088000358591
Streptococcus (OTU 257)	7.2000000000004425	0.4083574082247695	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.8403088000358591
Lachnospiraceae (OTU 359)	7.2000000000004425	0.4083574082247695	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.8403088000358591
Blautia (OTU 369)	7.2000000000004425	0.4083574082247695	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.8403088000358591
Blautia (OTU 398)	7.2000000000004425	0.4083574082247695	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.8403088000358591
Bacteroides (OTU 400)	7.2000000000004425	0.4083574082247695	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.8403088000358591
Butyricicoccus (OTU 402)	7.2000000000004425	0.4083574082247695	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.8403088000358591
Odoribacter (OTU 465)	7.2000000000004425	0.4083574082247695	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.8403088000358591
Coriobacteriaceae (OTU 528)	7.3356617647057565	0.39478705285128685	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.8403088000358591
Clostridium (OTU 583)	7.2000000000004425	0.4083574082247695	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.8403088000358591
Ruminococcaceae (OTU 857)	7.2000000000004425	0.4083574082247695	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.8403088000358591
Lachnospiraceae (OTU 1049)	7.2000000000004425	0.4083574082247695	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.8403088000358591
Lactobacillus (OTU 1121)	7.2000000000004425	0.4083574082247695	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.8403088000358591
Lachnospiraceae (OTU 1241)	7.2000000000004425	0.4083574082247695	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.8403088000358591
Porphyromonadaceae (OTU 1663)	7.3356617647057565	0.39478705285128685	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.8403088000358591
Clostridiales (OTU 2576)	7.2000000000004425	0.4083574082247695	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.8403088000358591
Bacteroides (OTU 178)	7.114745000840025	0.4170313317686134	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.8543606487118053
Lachnospiraceae (OTU 70)	7.072352163842355	0.42138569592045716	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.855708671978823
Lachnospiraceae (OTU 120)	7.085022878624798	0.4200813756962939	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.855708671978823
Lachnospiraceae (OTU 135)	7.052230939353588	0.42346194753519073	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.8561697891213681
Clostridiales (OTU 137)	6.944919192798186	0.434637332142493	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.8749438468781491
Porphyromonadaceae (OTU 271)	6.90366629255492	0.4389786318494257	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.8798576040964681
Turicibacter (OTU 299)	6.78068181818154	0.45206700040712655	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.890668175270211
Porphyromonadaceae (OTU 616)	6.78068181818154	0.45206700040712655	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.890668175270211
Porphyromonadaceae (OTU 1088)	6.78068181818154	0.45206700040712655	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.890668175270211
Porphyromonadaceae (OTU 1097)	6.78068181818154	0.45206700040712655	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.890668175270211
Lachnospiraceae (OTU 102)	6.696062420236522	0.4611966124334366	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.9009874749227053
Porphyromonadaceae (OTU 194)	6.699150036856583	0.46086174379004385	7	Kruskal-Wallis rank sum test	0	0	0	0	0	5e-4	0	0	0.9009874749227053
Peptostreptococcaceae (OTU 12)	4.425701871658	0.7296445647379859	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.9352951328224929
Lachnospiraceae (OTU 42)	4.08330414391559	0.7701339753501372	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.9352951328224929
Ruminococcaceae (OTU 50)	6.318382423309909	0.5031038161590876	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.9352951328224929
Ruminococcaceae (OTU 59)	5.774665760101224	0.56629316419777	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.9352951328224929
Ruminococcaceae (OTU 65)	6.1683265078183185	0.5202381655450098	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.9352951328224929
Lachnospiraceae (OTU 83)	3.2936287877871178	0.8565763017798563	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.9352951328224929
Lachnospiraceae (OTU 86)	5.489197942150688	0.6004871218543536	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.9352951328224929
Lachnospiraceae (OTU 88)	6.288809546545956	0.5064602184058763	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.9352951328224929
Lachnospiraceae (OTU 103)	5.030875594299375	0.6561951848774493	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.9352951328224929
Lachnospiraceae (OTU 111)	5.279585387874224	0.6258854048434559	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.9352951328224929
Lachnospiraceae (OTU 112)	6.204695472537626	0.5160619867746754	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.9352951328224929
Lachnospiraceae (OTU 113)	6.474177810563939	0.4855958418445287	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.9352951328224929
Lachnospiraceae (OTU 117)	5.631987268748814	0.583315116704607	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.9352951328224929
Lachnospiraceae (OTU 124)	2.7272727272728234	0.9090341463717533	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.9352951328224929
Clostridium (OTU 126)	4.2587363459900915	0.7495403029910968	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.9352951328224929
Lachnospiraceae (OTU 127)	3.628074866310176	0.8214796486726097	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.9352951328224929
Blautia (OTU 132)	4.419945425243537	0.7303345158264473	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.9352951328224929
Lachnospiraceae (OTU 144)	3.321306818181955	0.8537742040184064	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.9352951328224929
Clostridium (OTU 145)	5.44988620541434	0.605235225604106	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.9352951328224929
Firmicutes (OTU 155)	6.069819989455385	0.5316209307362225	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.9352951328224929
Coriobacteriaceae (OTU 158)	5.547965727935224	0.5934047774723719	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.9352951328224929
Anaerostipes (OTU 159)	5.131804152637641	0.6438822461763106	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.9352951328224929
Lachnospiraceae (OTU 161)	5.522727272727073	0.596443964815855	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.9352951328224929
Lachnospiraceae (OTU 162)	4.496406206023112	0.7211499840722796	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.9352951328224929
Lachnospiraceae (OTU 163)	6.4079500891265795	0.49300194220186117	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.9352951328224929
Acetatifactor (OTU 165)	5.121081375210915	0.6451898412650443	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.9352951328224929
Lachnospiraceae (OTU 167)	5.276069518716352	0.6263128927087089	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.9352951328224929
Ruminococcaceae (OTU 169)	3.321306818181955	0.8537742040184064	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.9352951328224929
Clostridiales (OTU 179)	4.756273138626231	0.6896778661861905	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.9352951328224929
Lachnospiraceae (OTU 180)	4.834681958907907	0.6801295538008408	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.9352951328224929
Lachnospiraceae (OTU 185)	4.517122583299369	0.7186544565256336	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.9352951328224929
Clostridium (OTU 186)	5.9138523241463545	0.5498437208402174	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.9352951328224929
Prevotella (OTU 191)	2.7272727272728234	0.9090341463717533	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.9352951328224929
Lachnospiraceae (OTU 193)	3.951707116412985	0.7853227243442248	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.9352951328224929
Clostridiales (OTU 195)	2.7634070601773493	0.90599268493578	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.9352951328224929
Lachnospiraceae (OTU 196)	5.521885521885323	0.5965453909832829	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.9352951328224929
Firmicutes (OTU 198)	4.182128291477908	0.7585771380800783	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.9352951328224929
Coriobacteriaceae (OTU 204)	3.668110742570553	0.8171119255506697	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.9352951328224929
Ruminococcaceae (OTU 207)	4.517362756379744	0.7186255084361148	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.9352951328224929
Clostridiales (OTU 208)	4.35942259527505	0.7375722916886813	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.9352951328224929
Bacteria (OTU 209)	4.840407754010619	0.6794317110998069	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.9352951328224929
Lachnospiraceae (OTU 211)	3.823529411764316	0.7998643064348548	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.9352951328224929
Clostridiales (OTU 214)	4.792120760847447	0.6853144789651584	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.9352951328224929
Ruminococcaceae (OTU 216)	2.7272727272728234	0.9090341463717533	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.9352951328224929
Ruminococcaceae (OTU 217)	5.324324283828618	0.6204493219182873	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.9352951328224929
Bacteria (OTU 223)	5.8073323735090785	0.5624178596509215	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.9352951328224929
Lachnospiraceae (OTU 227)	5.833333333333626	0.559339582782002	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.9352951328224929
Dorea (OTU 229)	3.5388533925966037	0.8310932052718559	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.9352951328224929
Lachnospiraceae (OTU 238)	5.833333333333626	0.559339582782002	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.9352951328224929
Lachnospiraceae (OTU 241)	3.876286764706172	0.7939114773092929	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.9352951328224929
Lachnospiraceae (OTU 243)	5.832734013026856	0.5594104730861792	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.9352951328224929
Clostridiales (OTU 251)	5.3709378856437056	0.6147933357977422	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.9352951328224929
Porphyromonadaceae (OTU 253)	5.700421904298869	0.5751320065958015	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.9352951328224929
Porphyromonadaceae (OTU 254)	3.876286764706172	0.7939114773092929	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.9352951328224929
Lachnospiraceae (OTU 259)	5.705327025915218	0.5745467590133483	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.9352951328224929
Coriobacteriaceae (OTU 260)	3.823529411764316	0.7998643064348548	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.9352951328224929
Bacteroides (OTU 261)	5.522727272727073	0.596443964815855	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.9352951328224929
Coriobacteriaceae (OTU 265)	5.853685778108466	0.5569340166487162	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.9352951328224929
Lachnospiraceae (OTU 266)	3.321306818181955	0.8537742040184064	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.9352951328224929
Acidaminococcus (OTU 267)	2.7272727272728234	0.9090341463717533	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.9352951328224929
Lachnospiraceae (OTU 272)	6.320774385703722	0.5028327880093981	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.9352951328224929
Olsenella (OTU 274)	4.970749158249493	0.6635329958672002	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.9352951328224929
Lachnospiraceae (OTU 276)	2.7272727272728234	0.9090341463717533	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.9352951328224929
Alistipes (OTU 277)	3.321306818181955	0.8537742040184064	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.9352951328224929
Porphyromonadaceae (OTU 278)	4.493628579164631	0.721484364238469	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.9352951328224929
Firmicutes (OTU 279)	2.7272727272728234	0.9090341463717533	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.9352951328224929
Lachnospiraceae (OTU 287)	5.522727272727073	0.596443964815855	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.9352951328224929
Porphyromonadaceae (OTU 288)	3.7636680270192775	0.8065602983521882	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.9352951328224929
Porphyromonadaceae (OTU 290)	4.840407754010619	0.6794317110998069	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.9352951328224929
Lachnospiraceae (OTU 292)	5.334370442391897	0.6192296285267295	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.9352951328224929
Lachnospiraceae (OTU 295)	2.7272727272728234	0.9090341463717533	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.9352951328224929
Bacteroides (OTU 296)	2.7272727272728234	0.9090341463717533	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.9352951328224929
Lachnospiraceae (OTU 297)	2.7272727272728234	0.9090341463717533	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.9352951328224929
Porphyromonadaceae (OTU 300)	4.752690719555996	0.6901137096515503	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.9352951328224929
Porphyromonadaceae (OTU 303)	2.743084121760509	0.9077088410209724	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.9352951328224929
Lachnospiraceae (OTU 305)	3.823529411764316	0.7998643064348548	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.9352951328224929
Ruminococcaceae (OTU 308)	4.8089149412678385	0.683269079746208	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.9352951328224929
Bacteroides (OTU 309)	4.5763636363637	0.7115033643466196	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.9352951328224929
Bacteria (OTU 310)	4.970749158249493	0.6635329958672002	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.9352951328224929
Porphyromonadaceae (OTU 312)	6.177319004524876	0.5192042213517698	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.9352951328224929
Porphyromonadaceae (OTU 313)	4.517362756379744	0.7186255084361148	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.9352951328224929
Porphyromonadaceae (OTU 314)	3.823529411764316	0.7998643064348548	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.9352951328224929
Bradyrhizobium (OTU 315)	2.7272727272728234	0.9090341463717533	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.9352951328224929
Lachnospiraceae (OTU 316)	3.823529411764316	0.7998643064348548	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.9352951328224929
Roseburia (OTU 319)	2.7272727272728234	0.9090341463717533	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.9352951328224929
Porphyromonadaceae (OTU 321)	4.250357663726463	0.7505317386481889	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.9352951328224929
Porphyromonadaceae (OTU 325)	2.7272727272728234	0.9090341463717533	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.9352951328224929
Clostridiales (OTU 329)	2.7272727272728234	0.9090341463717533	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.9352951328224929
Porphyromonadaceae (OTU 330)	5.578927773641031	0.5896815478218458	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.9352951328224929
Phenylobacterium (OTU 332)	2.7272727272728234	0.9090341463717533	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.9352951328224929
Bacteroidales (OTU 333)	2.7272727272728234	0.9090341463717533	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.9352951328224929
Bacteroidales (OTU 334)	4.792120760847447	0.6853144789651584	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.9352951328224929
Bilophila (OTU 339)	4.013181818182031	0.7782578723687783	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.9352951328224929
Erysipelotrichaceae (OTU 344)	2.7272727272728234	0.9090341463717533	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.9352951328224929
Lachnospiraceae (OTU 349)	3.823529411764316	0.7998643064348548	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.9352951328224929
Streptococcus (OTU 354)	3.9582491582489703	0.7845735556159275	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.9352951328224929
Terrisporobacter (OTU 363)	2.7272727272728234	0.9090341463717533	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.9352951328224929
Lachnospiraceae (OTU 365)	2.7272727272728234	0.9090341463717533	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.9352951328224929
Lachnospiraceae (OTU 370)	3.823529411764316	0.7998643064348548	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.9352951328224929
Porphyromonadaceae (OTU 373)	2.7272727272728234	0.9090341463717533	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.9352951328224929
Turicibacter (OTU 374)	5.522727272727073	0.596443964815855	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.9352951328224929
Clostridiales (OTU 382)	2.7272727272728234	0.9090341463717533	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.9352951328224929
Clostridiales (OTU 399)	2.7272727272728234	0.9090341463717533	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.9352951328224929
Burkholderia (OTU 403)	2.7272727272728234	0.9090341463717533	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.9352951328224929
Porphyromonadaceae (OTU 411)	2.7272727272728234	0.9090341463717533	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.9352951328224929
