otu	statistic	p.value	parameter	method	WM	C	WMR	CWM	RM	FRM	WMC	M1	p.value.adj
Oscillibacter (OTU 57)	37.54665250200233	3.6947312643358963e-6	7	Kruskal-Wallis rank sum test	0	0.001	0	0.002	5e-4	0.0025	0	0.008	9.503669863264e-5
Alistipes (OTU 18)	35.15552538795246	1.0456248428701172e-5	7	Kruskal-Wallis rank sum test	0	0.101	0	0.084	0.067	0.034	0	0.1225	2.548022643415075e-4
Lachnospiraceae (OTU 73)	34.832892703307586	1.2022868641267904e-5	7	Kruskal-Wallis rank sum test	0	0.001	0	0.002	0.002	0.001	0	0.0025	2.7832940904535196e-4
Clostridiales (OTU 154)	32.78771372339116	2.8999122970565745e-5	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.0015	6.393616159700924e-4
Clostridiales (OTU 97)	32.46065947025786	3.3358034597599865e-5	7	Kruskal-Wallis rank sum test	0	0	0	0.001	0.001	0.001	0	0.0025	7.020350008494881e-4
Enterobacteriaceae (OTU 2)	32.08121528957345	3.9231702959039866e-5	7	Kruskal-Wallis rank sum test	0.1875	0.001	0.003	0.001	0	0	0.174	5e-4	7.897512378276286e-4
Lachnospiraceae (OTU 4)	30.617461726657865	7.312870148378571e-5	7	Kruskal-Wallis rank sum test	0	0.0165	0.01	0.037	0.0175	0.0115	0.001	0.047	0.0014107745327913662
Lachnospiraceae (OTU 36)	30.40236415448948	8.010391306744366e-5	7	Kruskal-Wallis rank sum test	0	0.0015	0	0.001	0	0.0025	0	0.0045000000000000005	0.0014835244700090566
Porphyromonadaceae (OTU 7)	29.731917940278283	1.0633439584162531e-4	7	Kruskal-Wallis rank sum test	0	0.0445	0	0.037	0.049	0.0165	0	0.0245	0.0018234379731360193
Porphyromonadaceae (OTU 99)	29.73841893983733	1.060432803647224e-4	7	Kruskal-Wallis rank sum test	0	0.0025	0	0.003	0.003	0.0065	0	0.0025	0.0018234379731360193
Oscillibacter (OTU 119)	29.559778246847767	1.1433617439604712e-4	7	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0.001	0.0018906303123346362
Bacteria (OTU 105)	29.43804980228971	1.203501771501688e-4	7	Kruskal-Wallis rank sum test	0	0.0015	0	0.002	0	0	0	0.0085	0.001921452828294074
