otu	method	C	CWM	RM	FRM	CWM-C	RM-C	RM-CWM	FRM-C	FRM-CWM	FRM-RM
Akkermansia (OTU 3)	Kruskal-Wallis rank sum test	0.005	0.167	0.0715	0.049	0.006843921296530171	0.006843921296530171	0.06223753363341465	0.03668390433096316	0.03668390433096316	0.43708252531781944
Lachnospiraceae (OTU 4)	Kruskal-Wallis rank sum test	0.08549999999999999	0.0575	0.022	0.01	0.33466568802182484	0.011361515058463065	0.26993047650323176	0.003996003996003996	0.10084719171974141	0.07809502897827658
Porphyromonadaceae (OTU 6)	Kruskal-Wallis rank sum test	0	0	0	0.1285	0.543861579123601	0.17713500515074213	0.1994695093540247	0.1834228790097251	7.862853107992714e-4	4.4914464676107125e-4
Porphyromonadaceae (OTU 8)	Kruskal-Wallis rank sum test	0.016	0	0	0.0225	0.02850328662106509	0.26599146628330156	0.11820840367043721	0.8447566031557693	4.4914464676107125e-4	0.03740748374929686
Porphyromonadaceae (OTU 10)	Kruskal-Wallis rank sum test	0.087	0	0	0.091	9.169342137417516e-4	9.169342137417516e-4	NA	0.7958140661441786	1.8714360281711303e-4	1.8714360281711303e-4
Lachnospiraceae (OTU 11)	Kruskal-Wallis rank sum test	0.0325	0	0.003	0	3.620545998039834e-4	0.007054933347073836	0.007054933347073836	0.006396258492374948	0.2790163132113637	0.12609568200883073
Porphyromonadaceae (OTU 14)	Kruskal-Wallis rank sum test	0	0	0	0.0395	0.823972053193841	0.392358354020924	0.431180805995485	0.0023926914981889287	4.6712227965904705e-4	4.4914464676107125e-4
Porphyromonadaceae (OTU 15)	Kruskal-Wallis rank sum test	0	0	0	0.0645	0.8153271024373305	0.8938583805402167	0.8938583805402167	0.1393529902971398	0.0015587174014795185	0.04703852789055479
Porphyromonadaceae (OTU 21)	Kruskal-Wallis rank sum test	0	0	0	0.012	0.4749585398895067	NA	0.44914667291196353	0.005579234687574182	0.0030392579409578217	0.002355581927476295
Lachnospiraceae (OTU 24)	Kruskal-Wallis rank sum test	0.0085	0.009000000000000001	0	0	0.9074519137741454	0.014275634899828632	0.03650594881715762	0.020196441497570536	0.07635422119183433	0.8395840698568274
