day	statistic	p.value	parameter	method	C	CWM	RM	FRM	p.value.adj
1	11.410073753537995	0.009703068187646236	3	Kruskal-Wallis rank sum test	-1	-1.1999999999999993	-0.15000000000000036	-0.25	0.03396073865676182
3	12.493678973410907	0.005869898880225569	3	Kruskal-Wallis rank sum test	-0.24999999999999822	-1.0500000000000007	0.05000000000000071	0.049999999999998934	0.03396073865676182
2	11.775528812739859	0.008193027104456642	3	Kruskal-Wallis rank sum test	0.20000000000000107	-1.0500000000000007	0.20000000000000284	-0.05000000000000071	0.03396073865676182
5	12.445661508130906	0.006002482839342288	3	Kruskal-Wallis rank sum test	-0.09999999999999964	-0.3000000000000007	-1.049999999999999	-1.200000000000001	0.03396073865676182
4	9.88065600265847	0.01960832574691779	3	Kruskal-Wallis rank sum test	0.29999999999999893	-0.5499999999999989	-1.1499999999999986	-0.8500000000000014	0.03952377230552064
6	9.863600357445794	0.01976188615276032	3	Kruskal-Wallis rank sum test	0	0	-0.7999999999999989	-1.0000000000000018	0.03952377230552064
8	10.358862210607171	0.015749526496306062	3	Kruskal-Wallis rank sum test	-0.6500000000000004	0.15000000000000036	0.40000000000000036	-0.4499999999999993	0.03952377230552064
10	8.640974414329447	0.034465531789789935	3	Kruskal-Wallis rank sum test	-0.4999999999999982	0.14999999999999858	0.45000000000000107	-1.7763568394002505e-15	0.060314680632132384
9	8.30813253194362	0.040054818291032315	3	Kruskal-Wallis rank sum test	-0.5500000000000007	0.15000000000000036	0.45000000000000107	0.34999999999999964	0.062307495119383605
7	4.720140097669466	0.19347491686235405	3	Kruskal-Wallis rank sum test	-0.5	0.1999999999999993	-0.1999999999999993	-0.75	0.27086488360729566
15	3.2003356707980015	0.36175666570508386	3	Kruskal-Wallis rank sum test	-0.5000000000000018	0.09999999999999964	-0.09999999999999964	-0.20000000000000107	0.4604175745337431
-1	1.1352533236425006	0.7685713215926019	3	Kruskal-Wallis rank sum test	0.049999999999998934	-0.049999999999998934	0.05000000000000071	-0.15000000000000036	0.8276921924843404
-2	1.2364353830976422	0.7442795143720984	3	Kruskal-Wallis rank sum test	0	0	0	0	0.8276921924843404
0	0.515388382487585	0.9154978758383614	3	Kruskal-Wallis rank sum test	-0.3000000000000007	-0.15000000000000036	-0.15000000000000036	-0.3000000000000007	0.9154978758383614
