genus	statistic	p.value	parameter	method	WM	C	WMR	p.value.adj
Firmicutes Unclassified	12.99283154121864	0.0015088375325846466	2	Kruskal-Wallis rank sum test	0	0.007	0	0.015411245966700805
Ruminococcaceae Unclassified	12.8125	0.0016512049250036575	2	Kruskal-Wallis rank sum test	0.0495	0.0905	0.020999999999999998	0.015411245966700805
Unclassified	12.969588550983904	0.0015264747676175079	2	Kruskal-Wallis rank sum test	0	0.0275	0	0.015411245966700805
Clostridiales Unclassified	10.991218236173394	0.004104755423139517	2	Kruskal-Wallis rank sum test	0.003	0.065	0.0025	0.02873328796197662
Bacteroides	9.647058823529413	0.008038366309575124	2	Kruskal-Wallis rank sum test	0.16949999999999998	0.0055	0.38	0.045014851333620695
Clostridium XlVb	6.941287878787878	0.031096999629273207	2	Kruskal-Wallis rank sum test	0	0.0055	0.002	0.10074564580449535
Enterorhabdus	7.083333333333333	0.028965011810970175	2	Kruskal-Wallis rank sum test	0	0	0.001	0.10074564580449535
Peptostreptococcaceae Unclassified	7.226989079563175	0.02695747809505767	2	Kruskal-Wallis rank sum test	0.0085	0	0.001	0.10074564580449535
Porphyromonadaceae Unclassified	6.860272459499265	0.03238252900858779	2	Kruskal-Wallis rank sum test	0.138	0.213	0.0015	0.10074564580449535
Blautia	6.399999999999998	0.04076220397836626	2	Kruskal-Wallis rank sum test	0	0	5e-4	0.11413417113942552
Anaeroplasma	5.714285714285717	0.05743261926761727	2	Kruskal-Wallis rank sum test	0	0.001	0	0.14619212177211668
Acetatifactor	4.488384955752213	0.10601311375247482	2	Kruskal-Wallis rank sum test	0.0115	0.024	0.025500000000000002	0.2360405930131707
Turicibacter	4.4220132743362806	0.10959027532754355	2	Kruskal-Wallis rank sum test	0.0115	0.03	0.0215	0.2360405930131707
Butyricicoccus	4.077111613876314	0.1302166331058431	2	Kruskal-Wallis rank sum test	0.006	0.0015	0.004	0.2604332662116862
Akkermansia	3.6712962962962927	0.15951008209178422	2	Kruskal-Wallis rank sum test	0.0665	0.006500000000000001	0.1265	0.2977521532379972
Clostridium IV	2.6666666666666705	0.26359713811572627	2	Kruskal-Wallis rank sum test	0	0.001	0.001	0.461294991702521
Pseudoflavonifractor	2.3738872403560816	0.3051525021833764	2	Kruskal-Wallis rank sum test	0.008	0.005	0.0025	0.5026041212432082
Alistipes	2.1794871794871638	0.3363027141175231	2	Kruskal-Wallis rank sum test	0	0	0	0.5231375552939248
Enterobacteriaceae Unclassified	2.059550989345512	0.35708711953137867	2	Kruskal-Wallis rank sum test	0.002	5e-4	0.0025	0.5262336498357159
