day	p.value	method	C	M1	1RM1	M1-C	1RM1-C	1RM1-M1
1	0.0012306993283017348	Kruskal-Wallis rank sum test	61066666.66666667	1625000	1500	0.006493506493506494	0.007157732570695678	0.04382636546609423
2	0.0013205507555799528	Kruskal-Wallis rank sum test	112000000	5600000	3666.666666666665	0.007157732570695678	0.007157732570695678	0.029480007049421282
5	0.0014127572585692165	Kruskal-Wallis rank sum test	144000	0	0	0.010103921017430538	0.010103921017430538	0.17573433564422514
