otu	statistic	p.value	parameter	method	WM	C	WMR	WMC	WMN	CN	p.value.adj
Bacteroidales (OTU 38)	17.28183375789228	0.003995173702493721	5	Kruskal-Wallis rank sum test	0.027	0.018	0	0.018	0.02	0.013000000000000001	0.11807957831814775
Porphyromonadaceae (OTU 8)	16.525202390400615	0.005494108059664234	5	Kruskal-Wallis rank sum test	0.024	0.022	0	0.057	0.022	0.024	0.1328575221700624
Clostridiales (OTU 35)	16.577945683303707	0.0053738554449786575	5	Kruskal-Wallis rank sum test	0.004	0.007	0	0.003	0.006	0.015	0.1328575221700624
Bacteria (OTU 43)	16.535276416792488	0.00547093864675951	5	Kruskal-Wallis rank sum test	0.002	0.003	0	0.007	0.005	0.0135	0.1328575221700624
Bacteroides (OTU 296)	16.54342105263154	0.005452276382342916	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.1328575221700624
Lachnospiraceae (OTU 120)	15.80248847926258	0.00743119621162998	5	Kruskal-Wallis rank sum test	0	0	0	0.001	0	0	0.17188679932987605
Porphyromonadaceae (OTU 25)	15.212598521235138	0.009491532928324962	5	Kruskal-Wallis rank sum test	0.038	0.041	0.001	0.057	0.047	0.033	0.2019798207147552
Porphyromonadaceae (OTU 99)	15.235363557745814	0.009402611693361358	5	Kruskal-Wallis rank sum test	0.006	0.006	0	0.003	0.007	0.004	0.2019798207147552
Porphyromonadaceae (OTU 80)	14.691997647683076	0.011762733742393942	5	Kruskal-Wallis rank sum test	0.006	0.006	0	0.002	0.007	0.004	0.24068362888282988
Peptostreptococcaceae (OTU 12)	12.399999999999688	0.029699459203523897	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.2507954332742018
Alistipes (OTU 18)	13.578382919791718	0.01852145470094641	5	Kruskal-Wallis rank sum test	0.048	0.088	0	0.106	0.117	0.097	0.2507954332742018
Lachnospiraceae (OTU 24)	13.26483708762947	0.021019408921173235	5	Kruskal-Wallis rank sum test	0.004	0.004	0	0	0.004	0.001	0.2507954332742018
Porphyromonadaceae (OTU 40)	14.385880308348375	0.013335413432198446	5	Kruskal-Wallis rank sum test	0.019	0.019	0	0.02	0.022	0.020499999999999997	0.2507954332742018
Lachnospiraceae (OTU 47)	12.917441440582442	0.024164837286633458	5	Kruskal-Wallis rank sum test	0.004	0.002	0	0.007	0.001	0.001	0.2507954332742018
Lachnospiraceae (OTU 72)	13.572852726077494	0.01856292724578397	5	Kruskal-Wallis rank sum test	0	0	0.001	0	0	0	0.2507954332742018
Porphyromonadaceae (OTU 87)	12.999427848499485	0.02338413037179132	5	Kruskal-Wallis rank sum test	0.003	0.005	0	0.004	0.004	0.001	0.2507954332742018
Ruminococcus (OTU 93)	12.577059031087654	0.027681555056388814	5	Kruskal-Wallis rank sum test	0.004	0.005	0	0.006	0.007	0.0115	0.2507954332742018
Clostridium (OTU 126)	13.801076382633703	0.01692362251487436	5	Kruskal-Wallis rank sum test	0	0	0	0	0	5e-4	0.2507954332742018
Lachnospiraceae (OTU 152)	12.789933454325446	0.025428891172308205	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.2507954332742018
Alistipes (OTU 289)	12.399999999999688	0.029699459203523897	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.2507954332742018
Dialister (OTU 320)	12.399999999999688	0.029699459203523897	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.2507954332742018
Blautia (OTU 336)	12.399999999999688	0.029699459203523897	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.2507954332742018
Bacteroides (OTU 361)	12.399999999999688	0.029699459203523897	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.2507954332742018
Porphyromonadaceae (OTU 364)	13.357142857142703	0.020252205962662684	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.2507954332742018
Ruminococcaceae (OTU 376)	12.399999999999688	0.029699459203523897	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.2507954332742018
Blautia (OTU 398)	12.399999999999688	0.029699459203523897	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.2507954332742018
Clostridium (OTU 405)	12.399999999999688	0.029699459203523897	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.2507954332742018
Enterobacteriaceae (OTU 408)	12.399999999999688	0.029699459203523897	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.2507954332742018
Romboutsia (OTU 428)	12.399999999999688	0.029699459203523897	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.2507954332742018
Ruminococcus (OTU 485)	12.399999999999688	0.029699459203523897	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.2507954332742018
Clostridiales (OTU 614)	12.399999999999688	0.029699459203523897	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.2507954332742018
Clostridiales (OTU 638)	12.399999999999688	0.029699459203523897	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.2507954332742018
Phascolarctobacterium (OTU 642)	12.399999999999688	0.029699459203523897	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.2507954332742018
Bacteria (OTU 708)	12.399999999999688	0.029699459203523897	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.2507954332742018
Blautia (OTU 1247)	12.399999999999688	0.029699459203523897	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.2507954332742018
Porphyromonadaceae (OTU 1287)	12.399999999999688	0.029699459203523897	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.2507954332742018
Firmicutes (OTU 1475)	12.399999999999688	0.029699459203523897	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.2507954332742018
Ruminococcaceae (OTU 1688)	12.399999999999688	0.029699459203523897	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.2507954332742018
Faecalibacterium (OTU 1826)	12.399999999999688	0.029699459203523897	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.2507954332742018
Prevotella (OTU 2008)	12.399999999999688	0.029699459203523897	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.2507954332742018
Barnesiella (OTU 2117)	12.399999999999688	0.029699459203523897	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.2507954332742018
Ruminococcaceae (OTU 2450)	12.399999999999688	0.029699459203523897	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.2507954332742018
Ruminococcaceae (OTU 3307)	12.399999999999688	0.029699459203523897	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.2507954332742018
Veillonella (OTU 4748)	12.399999999999688	0.029699459203523897	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.2507954332742018
Clostridiales (OTU 5508)	12.399999999999688	0.029699459203523897	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.2507954332742018
Clostridiales (OTU 5660)	12.399999999999688	0.029699459203523897	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.2507954332742018
Clostridium (OTU 22)	12.249035806260956	0.03153024509046803	5	Kruskal-Wallis rank sum test	0.001	0	0	0.004	0	0	0.2565472441230494
Lachnospiraceae (OTU 85)	12.225090198022466	0.031830359870367864	5	Kruskal-Wallis rank sum test	0	0	0	0.001	0	0	0.2565472441230494
Bacteroides (OTU 261)	12.207142857142932	0.03205708175575482	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.2565472441230494
Porphyromonadaceae (OTU 383)	12.18730158730147	0.032309521346323894	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.2565472441230494
Porphyromonadaceae (OTU 21)	11.926062679671599	0.0358150584770274	5	Kruskal-Wallis rank sum test	0.065	0.056	0.001	0.075	0.068	0.054	0.2802001633790967
Lachnospiraceae (OTU 42)	11.73656497739815	0.03858129052889051	5	Kruskal-Wallis rank sum test	0	0	0	0.008	0	0	0.29746734146912684
Lactobacillus (OTU 9)	11.647485746508043	0.03995068038970557	5	Kruskal-Wallis rank sum test	0.007	0.005	0.003	0	0.008	0.0155	0.3006175973794576
Clostridiales (OTU 171)	11.636672325976201	0.04012001769537874	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.3006175973794576
Lachnospiraceae (OTU 113)	11.599883102156639	0.04070124795064053	5	Kruskal-Wallis rank sum test	0	0.001	0	0	0	0	0.3007369987463995
Clostridiales (OTU 179)	11.532788847473327	0.041781885767337386	5	Kruskal-Wallis rank sum test	0	0	0	0	0	5e-4	0.3044926469619656
Ruminococcaceae (OTU 27)	11.360552801744495	0.04468180289419389	5	Kruskal-Wallis rank sum test	0.002	0.001	0	0	0.002	0.002	0.32122593432042096
Oscillibacter (OTU 57)	11.179127519215761	0.0479418336565107	5	Kruskal-Wallis rank sum test	0.001	0.001	0	0.006	0.001	0.002	0.34006740673684926
Bacteria (OTU 108)	10.974122647315001	0.05189547601330355	5	Kruskal-Wallis rank sum test	0	0.001	0	0	0	0	0.3632683320931248
Acetatifactor (OTU 55)	10.92908383855458	0.05280431345252638	5	Kruskal-Wallis rank sum test	0.003	0.002	0	0	0.001	0.002	0.3648298020356368
Atopostipes (OTU 380)	10.720000000000208	0.057223042318845514	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.3902904937644335
Bacteria (OTU 105)	10.6433101631536	0.058929143883353	5	Kruskal-Wallis rank sum test	0	0.006	0	0	0.005	0.0065	0.39683929804992146
Lachnospiraceae (OTU 81)	10.557478249755302	0.06089517156208616	5	Kruskal-Wallis rank sum test	0	0.001	0	0.005	0	0	0.404952890887873
Lachnospiraceae (OTU 162)	10.16666666666645	0.07064822938278718	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.40853106556133456
Bacteroides (OTU 237)	10.33977041797117	0.066160903700639	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.40853106556133456
Porphyromonadaceae (OTU 303)	10.16666666666645	0.07064822938278718	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.40853106556133456
Clostridia (OTU 323)	10.16666666666645	0.07064822938278718	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.40853106556133456
Ruminococcaceae (OTU 420)	10.16666666666645	0.07064822938278718	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.40853106556133456
Lachnospiraceae (OTU 613)	10.16666666666645	0.07064822938278718	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.40853106556133456
Porphyromonadaceae (OTU 697)	10.16666666666645	0.07064822938278718	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.40853106556133456
Porphyromonadaceae (OTU 1071)	10.16666666666645	0.07064822938278718	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.40853106556133456
Turicibacter (OTU 1151)	10.16666666666645	0.07064822938278718	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.40853106556133456
Porphyromonadaceae (OTU 1440)	10.16666666666645	0.07064822938278718	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.40853106556133456
Porphyromonadaceae (OTU 1497)	10.16666666666645	0.07064822938278718	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.40853106556133456
Porphyromonadaceae (OTU 1559)	10.16666666666645	0.07064822938278718	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.40853106556133456
Lachnospiraceae (OTU 63)	10.065202064755665	0.07340871474609165	5	Kruskal-Wallis rank sum test	0.001	0.001	0	0	0	0	0.4199294219883952
Clostridiales (OTU 195)	9.999258903451663	0.07525624751123484	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.4259183369784781
Ruminococcaceae (OTU 61)	9.868366991101789	0.07905209334188955	5	Kruskal-Wallis rank sum test	0.001	0.001	0	0	0	5e-4	0.44269172271458146
Bacteria (OTU 215)	9.716665046871018	0.08367321214512717	5	Kruskal-Wallis rank sum test	0.001	0	0	0	0	0	0.46368905063757976
Ruminococcaceae (OTU 118)	9.557007011702717	0.08880556116246292	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0.001	0.4802624537226242
Lachnospiraceae (OTU 151)	9.587193790929005	0.08781344405457045	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.4802624537226242
Faecalibacterium (OTU 262)	9.539906910132467	0.08937214834311992	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.4802624537226242
Clostridiales (OTU 130)	9.244909159345255	0.09968533790451069	5	Kruskal-Wallis rank sum test	0.002	0.003	0	0.005	0	0	0.5199274486784283
Ruminococcaceae (OTU 143)	9.262698412698425	0.09903372518296062	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.5199274486784283
Porphyromonadaceae (OTU 194)	9.261636850747601	0.09907249992933105	5	Kruskal-Wallis rank sum test	0	0	0	0.001	0	0	0.5199274486784283
Clostridiales (OTU 154)	8.854408998394742	0.11501411449647504	5	Kruskal-Wallis rank sum test	0	0	0	0.001	0	0	0.5940534845837352
Lachnospiraceae (OTU 82)	8.752298602000728	0.11936145707277983	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.610579761179989
Lachnospiraceae (OTU 66)	8.710969558293234	0.12116298056773489	5	Kruskal-Wallis rank sum test	0.001	0.001	0	0	0.001	5e-4	0.6138924348765235
Lachnospiraceae (OTU 64)	8.623291757049888	0.12506653336678533	5	Kruskal-Wallis rank sum test	0.001	0	0	0	0.001	0.0015	0.6274284089967401
Clostridiales (OTU 115)	8.598443097136135	0.1261933078245323	5	Kruskal-Wallis rank sum test	0.001	0.001	0	0	0	5e-4	0.6274284089967401
Lachnospiraceae (OTU 36)	8.46541430111095	0.13238269394355728	5	Kruskal-Wallis rank sum test	0	0.001	0	0	0.001	0	0.627519091069867
Lachnospiraceae (OTU 58)	8.446410470620894	0.13328882949416349	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.627519091069867
Lachnospiraceae (OTU 73)	8.542886124802088	0.12874576060784904	5	Kruskal-Wallis rank sum test	0.001	0.001	0	0	0.001	5e-4	0.627519091069867
Lachnospiraceae (OTU 77)	8.570652959999071	0.12746430892918684	5	Kruskal-Wallis rank sum test	0	0	0	0.002	0	0	0.627519091069867
Enterorhabdus (OTU 109)	8.499457333650717	0.13077330081396904	5	Kruskal-Wallis rank sum test	0.001	0.001	0	0	0	5e-4	0.627519091069867
Lachnospiraceae (OTU 163)	8.474729195870939	0.1319405692034922	5	Kruskal-Wallis rank sum test	0	0	0	0.001	0	0	0.627519091069867
Clostridiales (OTU 107)	8.178188689206864	0.14668486709822814	5	Kruskal-Wallis rank sum test	0.005	0.003	0	0.005	0	0.0015	0.6845293797917313
Bacteria (OTU 168)	8.10223454252207	0.15069055761990555	5	Kruskal-Wallis rank sum test	0	0	0	0	0	5e-4	0.6971076230764326
Erysipelotrichaceae (OTU 39)	7.840244394250891	0.16526263017805534	5	Kruskal-Wallis rank sum test	0.002	0.001	0.001	0	0.002	0.0055	0.7579286142648745
Lachnospiraceae (OTU 29)	7.683807889922696	0.17454411900644287	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0.001	0.7936536009523727
Olsenella (OTU 114)	7.639304147585753	0.17726667904565466	5	Kruskal-Wallis rank sum test	0.001	0	0	0	0	0	0.7992023156973583
Oscillibacter (OTU 119)	7.476089649410853	0.18757124933410088	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.838553820552451
Lachnospiraceae (OTU 4)	7.3714491729293155	0.1944480491346273	5	Kruskal-Wallis rank sum test	0.011	0.021	0.002	0.014	0.024	0.020999999999999998	0.8410273344684692
Lachnospiraceae (OTU 68)	7.384268652348642	0.19359401900564047	5	Kruskal-Wallis rank sum test	0	0	0	0.002	0	0	0.8410273344684692
Lachnospiraceae (OTU 140)	7.408230192661867	0.19200639980285275	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.8410273344684692
Lachnospiraceae (OTU 146)	7.398928543805734	0.19262135661826363	5	Kruskal-Wallis rank sum test	0	0	0	0	0	5e-4	0.8410273344684692
Lachnospiraceae (OTU 86)	7.307093821510338	0.19878470353910613	5	Kruskal-Wallis rank sum test	0	0	0	0.001	0	0	0.852850502280681
Ruminococcaceae (OTU 98)	7.159187238342469	0.20906800825567118	5	Kruskal-Wallis rank sum test	0.001	0.001	0	0.003	0.001	0.001	0.8897934431361366
Porphyromonadaceae (OTU 7)	6.997978478322388	0.22079069448923605	5	Kruskal-Wallis rank sum test	0.032	0.041	0.001	0.074	0.031	0.0285	0.9035434574482583
Anaeroplasma (OTU 89)	7.00517376818265	0.2202558125448916	5	Kruskal-Wallis rank sum test	0	0.001	0	0.002	0.001	0.001	0.9035434574482583
Lachnospiraceae (OTU 150)	7.046157059314726	0.21723012172253361	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.9035434574482583
Bacteria (OTU 209)	7.03999999999981	0.21768241580937256	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.9035434574482583
Lachnospiraceae (OTU 238)	7.03999999999981	0.21768241580937256	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.9035434574482583
Lachnospiraceae (OTU 11)	3.775301335378372	0.5821989546944525	5	Kruskal-Wallis rank sum test	0.001	0.001	0	0	0.001	0.0015	0.917014564994617
Porphyromonadaceae (OTU 15)	6.335207569617228	0.2749543089473618	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.917014564994617
Lachnospiraceae (OTU 16)	4.311038812836885	0.5055564727237177	5	Kruskal-Wallis rank sum test	0.001	0	0.002	0	0	0.001	0.917014564994617
Lachnospiraceae (OTU 17)	5.832499934475524	0.3228601431056857	5	Kruskal-Wallis rank sum test	0.002	0.002	0.002	0	0.002	5e-4	0.917014564994617
Lachnospiraceae (OTU 20)	6.149745787439956	0.29191955104371103	5	Kruskal-Wallis rank sum test	0.001	0.002	0	0.002	0.002	0.002	0.917014564994617
Lachnospiraceae (OTU 26)	3.0142399482264386	0.6977903283019973	5	Kruskal-Wallis rank sum test	0.004	0.003	0.001	0.002	0.003	0.001	0.917014564994617
Lachnospiraceae (OTU 30)	4.980734068137451	0.41823595757458154	5	Kruskal-Wallis rank sum test	0.002	0.002	0	0.003	0.002	0.002	0.917014564994617
Lachnospiraceae (OTU 31)	3.0519761904761724	0.6919727258605912	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.917014564994617
Lachnospiraceae (OTU 32)	4.054209705289549	0.541637797992105	5	Kruskal-Wallis rank sum test	0.001	0.002	0	0.003	0.001	0.002	0.917014564994617
Lachnospiraceae (OTU 33)	4.817108454649797	0.43860597796584494	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.917014564994617
Lachnospiraceae (OTU 34)	3.4799077844532342	0.6264299936950317	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.917014564994617
Lachnospiraceae (OTU 41)	5.753321538879908	0.3309665369694952	5	Kruskal-Wallis rank sum test	0	0	0	0.004	0	0	0.917014564994617
Oscillibacter (OTU 45)	5.081559884297736	0.40600788597086834	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.917014564994617
Lachnospiraceae (OTU 49)	6.017520817270135	0.30451779870677004	5	Kruskal-Wallis rank sum test	0.001	0	0	0	0	5e-4	0.917014564994617
Ruminococcaceae (OTU 50)	2.3715368050380294	0.7957051713544038	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.917014564994617
Clostridium (OTU 51)	4.494237192982459	0.4806548520402269	5	Kruskal-Wallis rank sum test	0	0	0	0.001	0	5e-4	0.917014564994617
Ruminococcaceae (OTU 52)	6.618577869555535	0.25058705999415665	5	Kruskal-Wallis rank sum test	0	0	0	0.001	0	0	0.917014564994617
Ruminococcaceae (OTU 54)	6.4795867689222	0.2623075227952274	5	Kruskal-Wallis rank sum test	0.002	0.003	0	0.001	0.003	0.002	0.917014564994617
Butyricicoccus (OTU 56)	6.66186906011465	0.247026178072133	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.917014564994617
Ruminococcaceae (OTU 60)	4.221285189986429	0.5180160325760013	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.917014564994617
Lachnospiraceae (OTU 62)	4.6398971328068805	0.4613865836463818	5	Kruskal-Wallis rank sum test	0.001	0.001	0	0.003	0.001	0.001	0.917014564994617
Porphyromonadaceae (OTU 67)	3.202221204748202	0.668841539324724	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.917014564994617
Pseudoflavonifractor (OTU 69)	2.536505489665596	0.7709875161045368	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.917014564994617
Lachnospiraceae (OTU 71)	4.83756682078049	0.4360238485461896	5	Kruskal-Wallis rank sum test	0.001	0.001	0	0	0	0	0.917014564994617
Lachnospiraceae (OTU 74)	6.148768088804382	0.29201115908604525	5	Kruskal-Wallis rank sum test	0.001	0	0	0	0	5e-4	0.917014564994617
Lachnospiraceae (OTU 76)	3.707996981867289	0.5921743426086458	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.917014564994617
Acetatifactor (OTU 78)	3.310033416875482	0.6523059248716104	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.917014564994617
Lachnospiraceae (OTU 83)	3.148327962764031	0.6771302151959967	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.917014564994617
Lachnospiraceae (OTU 84)	6.079621893112926	0.29854829622835566	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.917014564994617
Lachnospiraceae (OTU 88)	2.953371462845152	0.7071746015413304	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.917014564994617
Clostridiales (OTU 91)	3.711128181029415	0.5917087969736365	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.917014564994617
Ruminococcaceae (OTU 92)	4.744608335862827	0.4478366473722839	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.917014564994617
Lachnospiraceae (OTU 94)	4.927097668000276	0.4248419953566375	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.917014564994617
Lachnospiraceae (OTU 95)	3.375637009189565	0.6422830757785286	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.917014564994617
Firmicutes (OTU 96)	4.1908012392298275	0.5222851578469865	5	Kruskal-Wallis rank sum test	0	0	0	0	0	5e-4	0.917014564994617
Clostridiales (OTU 97)	6.831242611218569	0.2334965920790882	5	Kruskal-Wallis rank sum test	0.001	0.001	0	0.002	0.001	0.001	0.917014564994617
Ruminococcaceae (OTU 101)	6.371129902037574	0.2717622814803699	5	Kruskal-Wallis rank sum test	0	0	0	0	0	5e-4	0.917014564994617
Lachnospiraceae (OTU 102)	6.397205515480848	0.2694641451738616	5	Kruskal-Wallis rank sum test	0	0	0	0.001	0	0	0.917014564994617
Lachnospiraceae (OTU 103)	3.941388544004822	0.5578851184924655	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.917014564994617
Ruminococcaceae (OTU 106)	5.532630757220918	0.35438106596659247	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.917014564994617
Lachnospiraceae (OTU 110)	4.955609320330517	0.4213217051362214	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.917014564994617
Lachnospiraceae (OTU 111)	5.178087299697213	0.39453523583899947	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.917014564994617
Lachnospiraceae (OTU 112)	4.144960034930222	0.5287397888654588	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.917014564994617
Lachnospiraceae (OTU 117)	5.2156832719438055	0.39012912672548977	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.917014564994617
Porphyromonadaceae (OTU 122)	3.5154661707415573	0.6210487024391298	5	Kruskal-Wallis rank sum test	0	0	0	0	0	5e-4	0.917014564994617
Lachnospiraceae (OTU 125)	4.783734593621383	0.4428396326612673	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.917014564994617
Lachnospiraceae (OTU 127)	5.130364372469531	0.4001785548895162	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.917014564994617
Firmicutes (OTU 129)	2.892636818092524	0.716533731132157	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.917014564994617
Lachnospiraceae (OTU 131)	2.8285714285714194	0.7263945517677513	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.917014564994617
Blautia (OTU 132)	3.2947743026205654	0.6546418286731107	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.917014564994617
Lachnospiraceae (OTU 133)	4.9736296470574315	0.4191069441115387	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.917014564994617
Dorea (OTU 134)	2.851660401002591	0.7228425563790468	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.917014564994617
Lachnospiraceae (OTU 135)	2.989110913279401	0.7016647133207397	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.917014564994617
Clostridiales (OTU 136)	4.828975708590152	0.4371069481562992	5	Kruskal-Wallis rank sum test	0	0	0	0.004	0	0	0.917014564994617
