otu	statistic	p.value	parameter	method	WM	C	WMR	WMC	WMN	CN	p.value.adj
Phenylobacterium (OTU 332)	65.99999999999996	6.9503042487142e-13	5	Kruskal-Wallis rank sum test	0	0	0	0.002	0	0	3.6975618603159544e-10
Bacteroides (OTU 178)	27.576228234808156	4.404129562261588e-5	5	Kruskal-Wallis rank sum test	0	0	0.002	0	0	0	0.011714984635615823
Blautia (OTU 19)	25.755921052631578	9.950655647785722e-5	5	Kruskal-Wallis rank sum test	0	0	0	0.001	0	0	0.01367512850558612
Enterococcus (OTU 187)	25.18153846153878	1.285256438494936e-4	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.01367512850558612
Clostridium (OTU 268)	25.18153846153878	1.285256438494936e-4	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.01367512850558612
Bacteroides (OTU 1)	24.459212143414664	1.7715050739724862e-4	5	Kruskal-Wallis rank sum test	0.063	0.067	0.722	0.038	0.102	0.108	0.015707344989222712
Porphyromonadaceae (OTU 6)	20.87778334291969	8.542752528320937e-4	5	Kruskal-Wallis rank sum test	0.138	0.124	0	0.208	0.109	0.1175	0.0600130317055338
Porphyromonadaceae (OTU 14)	20.480080473591716	0.0010152580551688049	5	Kruskal-Wallis rank sum test	0.068	0.07	0	0.06	0.053	0.041	0.0600130317055338
Porphyromonadaceae (OTU 44)	20.564131463266637	9.789194139011043e-4	5	Kruskal-Wallis rank sum test	0.014	0.017	0	0.016	0.011	0.0075	0.0600130317055338
Turicibacter (OTU 5)	20.023862907483327	0.0012369098611922083	5	Kruskal-Wallis rank sum test	0.062	0.043	0.019	0.061	0.06	0.0945	0.06299997967503991
Lactobacillus (OTU 23)	19.9040188106981	0.0013026311586944342	5	Kruskal-Wallis rank sum test	0.007	0.006	0.001	0.01	0.006	0.0165	0.06299997967503991
Bifidobacterium (OTU 28)	19.52854885996029	0.0015315668217772767	5	Kruskal-Wallis rank sum test	0.003	0.001	0	0.003	0.006	0.0115	0.06789946243212594
Akkermansia (OTU 3)	19.28287544149293	0.0017023068236263511	5	Kruskal-Wallis rank sum test	0.018	0.008	0.116	0.003	0	0	0.0696636330899399
Porphyromonadaceae (OTU 48)	18.89219198497111	0.0020130576435284154	5	Kruskal-Wallis rank sum test	0.017	0.018	0	0.023	0.021	0.0095	0.07649619045407978
Porphyromonadaceae (OTU 10)	18.522959043666802	0.0023575989043164614	5	Kruskal-Wallis rank sum test	0.043	0.025	0	0.034	0.047	0.0485	0.0836161744730905
Enterobacteriaceae (OTU 2)	17.546803820984724	0.0035714474425239317	5	Kruskal-Wallis rank sum test	0.001	0	0.023	0.006	0.001	0.001	0.11798655586265512
Lactobacillus (OTU 13)	17.418863113613387	0.003770247085836724	5	Kruskal-Wallis rank sum test	0.016	0.013	0	0.005	0.011	0.020999999999999998	0.11798655586265512
