otu	statistic	p.value	parameter	method	WM	C	WMR	WMC	p.value.adj
Bacteroidales (OTU 38)	26.662960410924583	6.927290527282063e-6	3	Kruskal-Wallis rank sum test	0	0.019	0	0	5.212786121779752e-4
Porphyromonadaceae (OTU 44)	26.70310539523212	6.794392445304625e-6	3	Kruskal-Wallis rank sum test	0	0.017	0	0	5.212786121779752e-4
Porphyromonadaceae (OTU 48)	26.72993594574228	6.706991957674146e-6	3	Kruskal-Wallis rank sum test	0	0.015	0	0	5.212786121779752e-4
Porphyromonadaceae (OTU 80)	27.775740110034057	4.047761608573412e-6	3	Kruskal-Wallis rank sum test	0	0.0085	0	0	5.212786121779752e-4
Porphyromonadaceae (OTU 8)	24.962629799565303	1.572079973566459e-5	3	Kruskal-Wallis rank sum test	0	0.0135	0	0	5.530079673759046e-4
Porphyromonadaceae (OTU 10)	24.440686389148716	2.0209593492142695e-5	3	Kruskal-Wallis rank sum test	0	0.024	0	0.001	5.530079673759046e-4
Porphyromonadaceae (OTU 14)	24.58675000000001	1.883821005972794e-5	3	Kruskal-Wallis rank sum test	0	0.067	0	0.001	5.530079673759046e-4
Porphyromonadaceae (OTU 21)	24.597682303245897	1.873937997243076e-5	3	Kruskal-Wallis rank sum test	0	0.0665	0	0.001	5.530079673759046e-4
Porphyromonadaceae (OTU 25)	24.581287491668526	1.8887786677970034e-5	3	Kruskal-Wallis rank sum test	0	0.048	0	0.001	5.530079673759046e-4
Clostridiales (OTU 35)	24.555195700110236	1.9126390804160395e-5	3	Kruskal-Wallis rank sum test	0	0.0035	0	0	5.530079673759046e-4
Porphyromonadaceae (OTU 40)	25.962234555984555	9.71263820300449e-6	3	Kruskal-Wallis rank sum test	0	0.0175	0	0	5.530079673759046e-4
Bifidobacterium (OTU 28)	23.874005615348626	2.6539557921496628e-5	3	Kruskal-Wallis rank sum test	0.0335	5e-4	0	0.016	6.657005778642071e-4
Porphyromonadaceae (OTU 6)	23.013668150031766	4.011897370499308e-5	3	Kruskal-Wallis rank sum test	5e-4	0.14150000000000001	0	0.001	9.289085450156089e-4
Bacteroides (OTU 1)	22.809272892295265	4.425341546196185e-5	3	Kruskal-Wallis rank sum test	0.539	0.066	0.6185	0.718	9.514484324321797e-4
Ruminococcaceae (OTU 98)	21.597242593135796	7.910897871846992e-5	3	Kruskal-Wallis rank sum test	0	0.002	0	0	0.001587453506283963
Alistipes (OTU 18)	20.280548409728716	1.4846764122405026e-4	3	Kruskal-Wallis rank sum test	0	0.10999999999999999	0	0	0.0026287505887317136
Lachnospiraceae (OTU 73)	20.32354713444025	1.454504042282804e-4	3	Kruskal-Wallis rank sum test	0	0.001	0	0	0.0026287505887317136
Ruminococcus (OTU 93)	19.80257717750824	1.8650715377644493e-4	3	Kruskal-Wallis rank sum test	0	0.004	0	0	0.0031188140714838845
Porphyromonadaceae (OTU 99)	19.63341843775877	2.0217621845291581e-4	3	Kruskal-Wallis rank sum test	0	0.0035	0	0	0.0032028969344382982
Ruminococcaceae (OTU 54)	19.460140922906856	2.1958555329320623e-4	3	Kruskal-Wallis rank sum test	0	0.002	0	0	0.003304762577062754
Lachnospiraceae (OTU 64)	18.788988657844993	3.02284110082353e-4	3	Kruskal-Wallis rank sum test	0	0.001	0	0	0.004289397507490779
Bacteria (OTU 105)	18.71234703482899	3.135107812783958e-4	3	Kruskal-Wallis rank sum test	0	0.002	0	0	0.004289397507490779
Lactobacillus (OTU 23)	17.162512873326463	6.543805271941622e-4	3	Kruskal-Wallis rank sum test	0.0075	0.004	0	0.003	0.008563849508062733
Clostridium (OTU 268)	16.875000000000007	7.498322867907943e-4	3	Kruskal-Wallis rank sum test	0	0	0	0.002	0.009404146596834546
Porphyromonadaceae (OTU 87)	16.059986366734808	0.001102319640302576	3	Kruskal-Wallis rank sum test	0	0.0025	0	0	0.013271928469243013
Lactobacillus (OTU 9)	15.54807890399668	0.0014034216084505308	3	Kruskal-Wallis rank sum test	0.004	0.0045000000000000005	0	0.029	0.015858154637139514
Lachnospiraceae (OTU 24)	15.51944190301922	0.0014224922764211523	3	Kruskal-Wallis rank sum test	0	0.003	5e-4	0	0.015858154637139514
Porphyromonadaceae (OTU 7)	14.698394994559278	0.0020934017512099627	3	Kruskal-Wallis rank sum test	0	0.05	0	0	0.0225040688255071
Lachnospiraceae (OTU 36)	13.512784090909106	0.003649255467966583	3	Kruskal-Wallis rank sum test	0	0.001	0	0	0.03742685630937996
Lachnospiraceae (OTU 47)	13.465825446898002	0.0037302514594066403	3	Kruskal-Wallis rank sum test	0	0.002	0	0	0.03742685630937996
Lachnospiraceae (OTU 16)	13.288893321176202	0.004051739576955791	3	Kruskal-Wallis rank sum test	0.0115	0	5e-4	0	0.038538827624990675
Acetatifactor (OTU 55)	13.265028400126196	0.00409715110963356	3	Kruskal-Wallis rank sum test	0	0.002	0	0	0.038538827624990675
Enterobacteriaceae (OTU 2)	12.851407875943668	0.004969215850160145	3	Kruskal-Wallis rank sum test	0.1875	0.001	0.003	0.174	0.04532527184540011
Lachnospiraceae (OTU 20)	11.212532865907079	0.010630429586174668	3	Kruskal-Wallis rank sum test	0	0.0025	0.002	0	0.08888220292884931
Bacteria (OTU 43)	11.23093220338983	0.010540484965286957	3	Kruskal-Wallis rank sum test	0	5e-4	0	0	0.08888220292884931
