day	method	C	M1	1RM1	M1-C	1RM1-C	1RM1-M1
1	Kruskal-Wallis rank sum test	0.7349305	1.0618604999999999	1.7043745	0.07142857142857142	0.07142857142857142	0.006493506493506494
2	Kruskal-Wallis rank sum test	1.7273025	1.660956	2.2033495	0.5476190476190476	0.03571428571428571	0.03571428571428571
7	Kruskal-Wallis rank sum test	2.5310695	2.907986	3.1958915	0.003246753246753247	0.003246753246753247	0.015151515151515152
PT	Kruskal-Wallis rank sum test	3.308689	3.3947835	3.1149435	0.2857142857142857	0.21428571428571427	0.012987012987012988
